"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Empathy Conduit","necromancy","","","shaman 5, sorcerer/wizard 5, witch 5","1 standard action","V, S, F (a glass rod)","0","medium (100 ft. + 10 ft./level)","","","an animal companion, familiar, or other bonded creature and its master (which may be no more than 30 ft. apart)","1 round/level","0","0","Will negates","yes","You make a conduit between the targeted master and her familiar, allowing you to target the master or the familiar with your spells in order to affect the other. If the master succeeds at its save to resist this spell but the familiar fails, you can choose to have your spells that target the master affect the familiar instead. If the familiar resists but the master doesn't, your spells that target the familiar can affect the master instead. If both the familiar and the master fail to resist this spell, you can affect either the familiar or the master when you target either with a spell. When you target the master to affect her familiar or vice versa, the target attempts a save (if one is allowed) with its own saving throw bonus, but the other creature is affected by the spell.  Only spells that target one or more creatures can be cast through empathy conduit. The creature to be affected must still be a valid target of the spell being cast; for example, you can't affect a familiar with charm person through an empathy conduit. Spells with a duration other than instantaneous that are cast through an empathy conduit last either their normal duration or until the empathy conduit expires, whichever comes first. Whenever the master or its familiar is targeted with a spell intended to affect the other creature, the targeted creature can attempt an additional save against the empathy conduit.","Familiar Folio"
"Soulswitch","necromancy","","","bard 5, cleric/oracle 5, druid 5, inquisitor 5, magus 5, shaman 5, sorcerer/wizard 5, witch 5","1 standard action","V, S, F (two brass collars worth 50 gp each)","1","touch","","","you and your familiar","10 minutes/level","0","0","Will negates (harmless)","yes (harmless)","You may only cast this spell if you currently have a familiar. You place your soul into the body of your familiar, and your familiar's soul is placed in your body. This functions as if you possessed your familiar using magic jar; your familiar simultaneously possesses your body in the same manner. You can't freely transfer your soul between your body and your familiar's-if you choose to return to your body as a standard action, the spell ends. If either body is killed, both spirits return to their original bodies, the spell ends, and the original owner of the slain body dies.","Familiar Folio"
"Transfer Familiar","evocation","","","sorcerer/wizard 6, witch 6","1 standard action","V, S","0","touch","","","your familiar and one willing creature","1 day/level (D)","1","0","none","no","You temporarily grant control of your familiar to another willing creature. You, your familiar, and the target creature must all be touching each other when you cast this spell. The target gains all the benefits and abilities normally associated with having a familiar, including the ability to share spells, speak with the familiar, and so on. You lose all of these benefits for the duration of the spell. If the target already has a familiar, the spell fails.","Familiar Folio"
"Beanstalk","conjuration","creation","","sorcerer/wizard 4, summoner/unchained summoner 4, witch 4","1 minute","V, S, M (a small handful of beans)","0","0 ft. (see text)","","a 5-foot-radius beanstalk that grows to a height of 50 ft./caster level","","24 hours","0","0","none","no","When casting this spell, you must plant the material components in soil. When you do, at the end of casting, a large beanstalk rises up from the ground. It's strong enough to support Huge or smaller creatures weighing no more than 2,000 pounds total, and has enough handholds and footholds that it can be climbed as if it were knotted rope (Climb DC 5). At the end of the spell's duration, the beanstalk withers and dies at an accelerated rate, leaving nothing more than a pile of compost.","AP 91"
"Flaming Aura","transmutation","","fire","bloodrager 4, cleric/oracle 4, magus 4, shaman 4, sorcerer/wizard 4, summoner/unchained summoner 4, witch 4","1 standard action","V, S, M/DF (a small piece of charcoal)","0","personal","","","you (see text)","1 minute/level","0","0","none (harmless, see text)","no (harmless, see text)","The spell allows you channel fire into your very being. If you don't already have the fire subtype, this spell grants you the fire subtype. If you already have the fire subtype, you instead channel the flames from your being outward, creating a 10-foot-radius aura of fire centered on you. Creatures who enter or end their turns in the aura must succeed at a Fortitude saving throw or take 1d8 points of fire damage.  Multiple castings of this spell stack; you can cast it once on yourself to gain the fire subtype, then again to manifest the aura of flames around you.","AP 91"
"Frosty Aura","transmutation","","cold","bloodrager 4, cleric/oracle 4, magus 4, shaman 4, sorcerer/wizard 4, summoner/unchained summoner 4, witch 4","1 standard action","V, S, M/DF (a chunk of ice or a few drops of water melted from glacier ice)","0","personal","","","you (see text)","1 minute/level","0","0","none (harmless, see text)","no (harmless, see text)","The spell allows you to channel cold into your very being. If you don't already have the cold subtype, this spell grants you the cold subtype. If you already have the cold subtype, you instead channel the frost from your being outward, creating a 10-foot-radius aura of cold centered on you. Creatures who enter or end their turns in the aura must succeed at a Fortitude saving throw or take 1d8 points of cold damage.  Multiple castings of this spell stack; you can cast it once on yourself to gain the cold subtype, then again to manifest the aura of frost around you.","AP 91"
"Quick Throwing","transmutation","","","antipaladin 2, bloodrager 2, magus 2, paladin 2, ranger 2","1 standard action","V, S, M","0","close (25 ft. + 5 ft./2 levels)","","","one creature/level, no two of which can be more than 30 ft. apart","1 round/level","0","0","Fortitude negates (harmless)","yes (harmless)","Those under the effects of this spell become faster in the use of thrown weapons. They can draw thrown weapons (including rocks if they have the rock throwing ability) on their bodies or within their space without the need for the Quick Draw feat, allowing them to make their full normal rate of attacks with such weapons. This has no effects on other forms of ranged weapon ammunition.","AP 91"
"Thunderous Footfalls","transmutation","","","sorcerer/wizard 3, summoner/unchained summoner 3","1 standard action","V, S, M","0","close (25 ft. + 5 ft./2 levels)","","","one Large or larger creature","1 round/level","0","0","Fortitude negates (harmless)","no (harmless)","This spell makes the target creature's footfalls shake the ground violently as he trundles, which may knock down smaller creatures as he passes by, though it also makes the target slower on land. The target's land speed is reduced by half (round down to the nearest 5-foot increment), but each time he moves overland adjacent to a creature that is at least one size category smaller than he is, that creature must succeed at a Fortitude saving throw or be knocked prone.","AP 91"
"Thanatotic Fury","transmutation","","","sorcerer/wizard 4, witch 4","1 standard action","V, S, M (shavings from a holy symbol)","0","personal","","","you (see text)","1 minute/level","0","0","","","You may cast this spell only if you have the giant subtype. When casting this spell, you channel the fury and the abilities of thanatotic titans, gaining some of their abilities for a short period of time. When you hit a creature capable of casting divine spells, that creature must succeed at a Will saving throw or be unable to cast divine spells for 1d4 rounds and be shaken for the same duration. If the save is successful, the target is instead shaken for only 1 round.  Additionally, your attacks are treated as epic and evil for the purposes of overcoming damage reduction.","AP 91"
"Titanic Anchoring","transmutation","","","antipaladin 3, bloodrager 3, cleric/oracle 3, magus 3, paladin 3, ranger 3","1 standard action","V, S, M (a shaving of oak root)","0","personal","","","you","1 round/level","0","0","","","You become grounded and nearly immovable. You are immune to the pull and push special abilities, and all bull rush, grapple, overrun, reposition, and trip combat maneuvers made by creatures your size or smaller always fail. You gain a +10 bonus to your CMD against those combat maneuver checks made by creatures larger than you.","AP 91"
"Aura Of Inviolate Ownership","abjuration","","","cleric/oracle 3, inquisitor 3, paladin 3","1 standard action","V, S, DF","0","close (25 ft. + 5 ft./2 levels)","","","one creature/level, no two of which can be more than 30 ft. apart","1 round/level","0","0","Fortitude negates (harmless)","yes (harmless)","This spell wards the attended items of all creatures it targets (items held, securely fastened to their person, or in containers on their person), enhancing each creature's grip and protecting items from loss or theft. The DC of Sleight of Hand checks to remove items warded by the spell is increased by 20, and affected creatures gain a +20 bonus to their CMDs against disarm and steal combat maneuvers.","Melee Tactics Toolbox"
"Blade Tutor's Spirit","conjuration","creation","","antipaladin 2, magus 1, paladin 2, sorcerer/wizard 2, summoner/unchained summoner 2","1 standard action","V, S","0","personal","","","you","1 minute/level","0","0","","","You summon an insubstantial spirit of force that resembles a cloudy vapor hovering around your fists or any melee weapons you wield. The spirit compensates for your defensive or reckless melee attacks, nudging your weapons in the proper direction. When you voluntarily use one or more actions or feats that apply penalties to attack rolls with your melee weapons (such as a charge, fighting defensively, or using the Power Attack feat), the spirit reduces the total penalty on affected attacks by 1 (to a minimum penalty of 0). The penalty is reduced by an additional 1 for every 5 caster levels you possess (to a minimum penalty of 0). Only penalties incurred by voluntary use of feats or maneuvers are reduced by this spell.  The spirit can't be attacked or harmed by physical attacks, but disintegrate, dispel magic, a rod of cancellation, or a sphere of annihilation can affect it. A protective spirit's AC against touch attacks is equal to 10 + your Dexterity modifier.","Melee Tactics Toolbox"
"Darting Duplicate","illusion","figment","","antipaladin 1, bard 1, magus 1, shaman 1, sorcerer/wizard 1, witch 1","1 swift action","V, S","0","5 ft.","","visual figment of the caster","","instantaneous","0","0","Will negates","yes","An illusory duplicate of you steps clumsily into an adjacent square, presenting a tempting target before winking out of existence. Any creature that threatens that square must succeed at a Will save or make an attack of opportunity against the image. The image's AC is equal to 10 + 1/2 your caster level, but as a figment, the image is unaffected by any attack.","Melee Tactics Toolbox"
"Dimensional Blade","transmutation","","","antipaladin 4, bloodrager 4, cleric/oracle 6, inquisitor 5, magus 5, paladin 4, sorcerer/wizard 6","1 swift action","V, S","0","personal","","","you","1 round","0","0","","","This spell gives you the power to turn one melee weapon in your hand into a two-dimensional object with length and height but no width. A sword becomes a flat image of a sword, a mace is reduced to a flat outline, and so on. The magic of the spell allows the weapon to be wielded by you normally, creating just enough depth to grasp it.  Attacks made with the weapon are melee touch attacks that ignore all armor. Force effects, such as mage armor and shield, still apply their AC against attacks made with a dimensional blade. Bludgeoning weapons used to make attacks with this spell deal half damage and are treated as slashing weapons. If the weapon leaves your hand before the end of the spell, the effect ends.","Melee Tactics Toolbox"
