"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Mad Hallucination","illusion","phantasm","","bard 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2","1 standard action","V, S","0","close (20 ft.)","","","one humanoid creature","5 minute/level (maximum 1 hour)","0","0","Will negates","yes","This spell induces a hallucinogenic reality in the mind of your target. Surfaces seem to swim, and movement constantly distracts the eye. The target takes a -2 penalty on Will saving throws, caster level checks, Intelligence-based skill checks, and Wisdom-based skill checks.","Ultimate Magic"
"Mad Monkeys","conjuration","summoning","","bard 3, druid 3, sorcerer/wizard 3, summoner/unchained summoner 3","1 round","V, S, DF","0","close (25 ft. + 5 ft./2 levels)","","swarm of monkeys","","1 round/level","0","0","none","no","You summon a swarm of screeching, mischievous monkeys. The swarm understands and obeys your commands and has the statistics of a monkey swarm (Bestiary 2 212). Creatures failing a saving throw against the mad monkeys' distraction attack are deafened for 1 minute as well as nauseated. The monkeys attempt one disarm or steal combat maneuver each turn as a free action against any creature that begins its turn in the swarm, using your caster level plus your casting ability score bonus (Intelligence for wizards; Wisdom for druids; Charisma for bards, sorcerers, and summoners) for its CMB. Recovering an item from the monkeys requires a successful disarm or steal attempt against that CMB + 10. An object stolen by the monkeys takes swarm damage each round the swarm is in possession of the object.","Ultimate Magic"
"Malfunction","transmutation","","","sorcerer/wizard 4, occultist 4","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","one construct","","","1 round/level (D)","1","0","Fortitude negates","yes","This functions as confusion, except it only affects constructs, and instead of babbling incoherently, the construct takes no actions on its turn (but may still make attacks of opportunity).","Ultimate Magic"
"Malicious Spite","enchantment","compulsion","emotion, mind-affecting","bard 3, sorcerer/wizard 4, psychic 4, mesmerist 3","1 standard action","V, S, M (powdered turquoise worth 150 gp)","1","close (25 ft. + 5 ft./2 levels)","","","one creature","1 day/level","0","0","Will negates","yes","You invoke feelings of a driving malicious intent. The target's malice is directed at a second individual as designated by you at the time of casting. Thereafter, the target attempts to slander, abuse, and even plot murder against the target of its spite. This loathing is not overt, and the target's actions against the object of its spite remain subtle and indirect.  The enchanted target remains within its financial and ethical means when acting against the second individual, though the malice toward this other person pushes the target to the limit of what it would do to a hated individual.  Each day, the target takes 2 points of Wisdom damage as the all-encompassing spite dominates its thoughts. The target can only alleviate the ability damage by acting upon the emotion and performing a spiteful act. Examples of spiteful acts are spiking the target's drink to make it an easier target for thugs, damaging the target's property, starting foul rumors about the target, framing the target for a crime, paying lepers or beggars to accost the target, extorting or blackmailing the target, or arranging for others to physically harm the target.  When the spell ends, the target remembers the spiteful behavior, but not the motivation for it.","Ultimate Magic"
"Marionette Possession","necromancy","","","alchemist 3, sorcerer/wizard 3, summoner/unchained summoner 3, witch 3, psychic 3, mesmerist 3","1 standard action","V, S, F (a piece of paper with the target's name)","0","medium (100 ft. + 10 ft./level)","","","one willing creature","10 minutes/level or until you return to your body","0","0","Will negates (see text)","yes","You project your soul out of your body and into the body of a willing creature. This possession is blocked by protection from evil or a similar ward. The target's soul shares its body with you; it is helpless but can still use its senses. You and the target's soul can communicate telepathically as if using a common language.  You keep your Intelligence, Wisdom, Charisma, level, class, base attack bonus, base save bonuses, alignment, and mental abilities. The body retains its Strength, Dexterity, Constitution, hit points, natural abilities, and natural attacks (such as a bite or sting). A body with extra limbs does not allow you to make more attacks (or more advantageous two-weapon attacks) than normal. You can't choose to activate the body's extraordinary, spell-like, or supernatural abilities.  As a standard action, you can return to your own body, ending the spell. While your soul is possessing the target, your body is helpless. If the host body is slain, you return to your own body if it is within range, and the life force of the host departs (it is slain). If the host body is slain beyond the range of the spell, both you and the host die. Any life force with nowhere to go is treated as slain.","Ultimate Magic"
"Masterwork Transformation","transmutation","","","bard 2, cleric/oracle 2, druid 2, sorcerer/wizard 2, witch 2, occultist 2","1 hour","V, S, M (see below)","0","touch","","","one weapon, suit of armor, shield, tool, or skill kit touched","instantaneous","0","0","none","no","You convert a non-masterwork item into its masterwork equivalent. A normal sword becomes a masterwork sword, a suit of leather armor becomes a masterwork suit of leather armor, a set of thieves' tools becomes masterwork thieves' tools, and so on. If the target object has no masterwork equivalent, the spell has no effect. You can affect 50 pieces of ammunition as if they were one weapon. You decide if the object's appearance changes to reflect this improved quality.  The material component for the spell is magical reagents worth the cost difference between a normal item and the equivalent masterwork item (typically 300 gp for a weapon, 150 gp for armor, or 50 gp for a tool). If an object has multiple masterwork options (such as a double weapon, or a spiked shield that could be made masterwork as a weapon or armor), you choose one option of the object to affect (though you can cast the spell again to affect another option).","Ultimate Magic"
"Miserable Pity","abjuration","","emotion, mind-affecting","bard 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2","1 standard action","V, S","0","touch","","","creature touched","1 round/level and 1 minute; see text","0","0","Will negates (see text)","yes","This spell functions as sanctuary, except creatures attempting to attack the target who fail their saves also feel a strong sense of pity toward the target, as if it were weak, pathetic, and not a threat. If the target breaks the spell by attacking, any creature that failed its save against the spell gains a +2 morale bonus on attack rolls against the target for 1 minute.","Ultimate Magic"
"Monstrous Physique I","transmutation","polymorph","","alchemist 3, magus 3, sorcerer/wizard 3, bloodrager 3","1 standard action","V, S, M (a piece of the creature whose form you plan to assume)","0","personal","","","you","1 minute/level (D)","1","0","","","When you cast this spell, you can assume the form of any Small or Medium creature of the monstrous humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: climb 30 feet, fly 30 feet (average maneuverability), swim 30 feet, darkvision 60 feet, low-light vision, and scent. If the form you assume has the aquatic subtype, you gain the aquatic and amphibious subtypes.  Small monstrous humanoid: If the form you take is that of a Small monstrous humanoid, you gain a +2 size bonus to your Dexterity and a +1 natural armor bonus.  Medium monstrous humanoid: If the form you take is that of a Medium monstrous humanoid, you gain a +2 size bonus to your Strength and a +2 natural armor bonus.","Ultimate Magic"
"Monstrous Physique II","transmutation","polymorph","","alchemist 4, magus 4, sorcerer/wizard 4, bloodrager 4","1 standard action","V, S, M (a piece of the creature whose form you plan to assume)","0","personal","","","you","1 minute/level (D)","1","0","","","This spell functions as monstrous physique I, except it also allows you to assume the form of a Tiny or Large creature of the monstrous humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: climb 60 feet, fly 60 feet (good maneuverability), swim 60 feet, darkvision 60 feet, low-light vision, scent, freeze, grab, leap attack, mimicry, pounce, sound mimicry, speak with sharks, and trip. If the creature has the undersized weapons special quality, you gain that quality.  Tiny monstrous humanoid: If the form you take is that of a Tiny monstrous humanoid, you gain a +4 size bonus to your Dexterity, a -2 penalty to your Strength, and a +1 natural armor bonus.  Large monstrous humanoid: If the form you take is that of a Large monstrous humanoid, you gain a +4 size bonus to your Strength, a -2 penalty to your Dexterity, and a +4 natural armor bonus.","Ultimate Magic"
"Monstrous Physique III","transmutation","polymorph","","alchemist 5, magus 5, sorcerer/wizard 5","1 standard action","V, S, M (a piece of the creature whose form you plan to assume)","0","personal","","","you","1 minute/level (D)","1","0","","","This spell functions as monstrous physique II, except it also allows you to assume the form of a Diminutive or Huge creature of the monstrous humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: burrow 30 feet, climb 90 feet, fly 90 feet (good maneuverability), swim 90 feet, all-around vision, blindsense 30 feet, darkvision 60 feet, low-light vision, scent, blood frenzy, cold vigor, constrict, ferocity, freeze, grab, horrific appearance, jet, leap attack, mimicry, natural cunning, overwhelming, poison, pounce, rake, sound mimicry, speak with sharks, trample, trip, and web. If the creature has the undersized weapons special quality, you gain that quality.  Diminutive monstrous humanoid: If the form you take is that of a Diminutive monstrous humanoid, you gain a +6 size bonus to your Dexterity, a -4 penalty to your Strength, and a +1 natural armor bonus.  Huge monstrous humanoid: If the form you take is that of a Huge monstrous humanoid, you gain a +6 size bonus to your Strength, a -4 penalty to your Dexterity, and a +6 natural armor bonus.","Ultimate Magic"
