"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Sleepwalking Suggestion","enchantment","compulsion","mind-affecting","bard 4, medium 3, mesmerist 4, psychic 5, sorcerer/wizard 5, witch 5","1 standard action","V, S, M (two doses of oil of taggit worth 180 gp total)","1","close (25 ft. + 5 ft./2 levels)","","","one creature","24 hours","0","0","Will negates or none (see text)","yes","You compel the target creature to rise from its sleep as if sleepwalking and perform a course of activity (limited to a sentence or two). The spell takes effect immediately if the target is already asleep, or as soon as the target falls asleep if it is conscious. You can specify that the creature should wait before taking action when you give your instructions if you so choose. A sleeping creature doesn't get a save against this spell. The suggested activity must not cause the target to directly harm itself or others, but it doesn't need to be reasonable. For example, you could instruct the target to unlock doors and windows or poison its ally's rations, but not jump off a roof or perform a coup de grace action against a sleeping ally. Instructions that cause direct harm prompt the target to awaken just prior to performing the action and the target experiences a vague memory of what it was supposed to do.  The target moves at its speed, but isn't capable of running or moving at a higher rate of speed. It moves in dark conditions as if it had darkvision and can perform most simple and skill-based actions, but it can't engage in combat, spellcasting, or actions that require significant cognitive awareness (like making complex decisions, solving puzzles, or using complicated magic items). If the creature takes any damage while sleepwalking, it must attempt a new saving throw. If it succeeds, the spell ends and the creature awakens. When the target completes the suggested course of activity, or when the spell ends or is dismissed, the target remains unconscious and returns to where it was sleeping and must be awoken normally. It retains no memory of what it did while unconscious (with the only exception described above).  Unlike the sleepwalkAPG spell, attempts to use sleepwalking suggestion on a creature that is unconscious for any reason other than sleep automatically fail. A creature affected by sleepwalking suggestion is unaware it has been programmed to act in its sleep (unless awoken because it was about to cause harm).","Horror Adventures"
"Slough","transmutation","","evil","cleric/oracle 5, occultist 4, psychic 5, sorcerer/wizard 5, spiritualist 4, witch 5","1 standard action","V, S, M/DF (a pinch of dried skin flakes)","0","medium (100 ft. + 10 ft./levels)","","","one living creature","instantaneous","0","0","Fortitude negates","yes","The target takes 1d4 points of Constitution damage each round as its skin loosens and splits. Once it has taken 5 or more points of Constitution damage in this way, its skin falls off to reveal its musculature. The creature ceases taking Constitution damage, but takes a -4 penalty on saving throws against disease, pain effects, or poison, and on Charisma-based skill checks with the exception of Intimidate and Use Magic Device. The creature's skin regrows rapidly-once its Constitution damage is fully healed, its skin becomes intact once again and the penalties end.","Horror Adventures"
"Stave Off Corruption","abjuration","","","cleric/oracle 2, paladin 2","1 standard action","V, S, M (see text)","0","touch","","","one creature","1 day/2 caster levels","0","0","Will negates (harmless)","yes (harmless)","You ward the target to slow the advancement of its corruption. The target receives a +2 circumstance bonus on saving throws against the advancement of its corruption, as described in the catalyst section of each corruption. Multiple applications of this spell do not stack, nor does the bonus stack with morale, profane, or sacred bonuses on saving throws against the advancement of the target's corruption.  The material components for this spell vary with the type of corruption. For example, garlic is used for a vampirism corruption, a sprig of wolfsbane is used for a lycanthropy corruption, and so on. The GM can determine appropriate material components, but the components should cost at least 25 gp.","Horror Adventures"
"Straitjacket","conjuration","creation","","inquisitor 4, occultist 4, sorcerer/wizard 5, summoner/unchained summoner 5","1 standard action","V, S, M (leather strap)","0","close (25 ft. + 5 ft./2 caster levels)","","","one creature","1 round/level (D)","1","0","none","yes","You cause a straitjacket to spring into existence to restrain the target creature. You attempt a combat maneuver against the target's CMD. Your CMB for this check is equal to your caster level + 5 due to the straightjacket's Strength. This combat maneuver doesn't provoke an attack of opportunity, and if it succeeds, the target is restrained. This is similar to the grappled condition, except the target is able to move at its normal speed, the restraint doesn't cause the target to require concentration checks to use abilities that require concentration, and the target can't take actions that require one or more hands or arms to perform (including casting spells that require a somatic or material component).  Once it has been restrained for 1 round, the target can attempt an additional saving throw against a magical effect that makes it confused, a curse, a fear effect, or a madness. The caster chooses which effect the target gets an extra save against. This extra save applies to only effects with durations of 10 minutes per level or less, and it doesn't apply to instantaneous effects. This extra save occurs only once per casting of straitjacket.  A creature can attempt to escape the straitjacket with a combat maneuver check or Escape Artist check, with a DC equal to 10 + your caster level + your Intelligence, Wisdom, or Charisma modifier, whichever is highest.","Horror Adventures"
"Symbol Of Exsanguination","necromancy","","evil","bloodrager 2, cleric/oracle 3, occultist 2, sorcerer/wizard 3, witch 3","10 minutes","V, S, M (powdered garnet and bloodstone worth a total of 500 gp)","1","0 ft.; see text","","one symbol","","10 minutes/level","0","0","Fortitude negates","yes","This spell functions like symbol of death, except that each creature within the radius of symbol of exsanguination begins to bleed uncontrollably and violently from their eyes, ears, nose, and mouth, as well as any existing open wounds. Creatures that failed their saving throws immediately take 1d6 points of bleed damage and are sickened as long as they continue to take bleed damage from the symbol.  While a DC 15 Heal check or magical healing can end the bleed damage as normal, the bleed damage and sickened condition begin again each round so long as the creature begins its turn still within 60 feet of the symbol, including if the creature leaves the area and returns. Creatures that succeed at their saving throw suffer no ill effects from the symbol, even if they leave its area and return.  Unlike symbol of death, symbol of exsanguination has no hit point limit on the creatures it can affect. Once triggered, a symbol of exsanguination remains active for 10 minutes per caster level.  Magic traps such as symbol of exsanguination are hard to detect and disable. While any character can use Perception to find a symbol, only a character who has the trapfinding class feature can use Disable Device to disarm it. The DC in each case is equal to 25 + spell level, or 28 (27 for a bloodrager) for symbol of exsanguination.","Horror Adventures"
"Temporary Graft","transmutation","","","alchemist 3, bloodrager 3, magus 4, occultist 3, sorcerer/wizard 4","1 standard action","V, S, F (a dismembered body part)","0","personal","","","you","1 minute/level (D)","1","0","","","You temporarily graft a dismembered body part onto yourself. You must have the body part in your possession or the spell has no effect. The graft must come from a creature the same size category as you. You can have only one graft active at a time. Grafting on a new body part immediately ends the effects of the older casting and causes that body part to fall off. The effect of the graft depends on the type of body part you choose to graft to yourself, as follows.  Fins: The fins grant you a 40 foot swim speed.  Head: The head grants you all-around vision. If the head came from a creature that had darkvision, low-light vision, or scent, you gain the appropriate senses at half the normal range. You can speak through either head, but not both simultaneously. You don't receive any additional special abilities the head might have had (like a medusa's petrifying gaze ability).  Leg: The leg increases your base movement speed by 5 feet and grants you a +2 bonus to CMD against overrun and trip combat maneuvers (the usual bonus for having an extra leg).  Wings: The wings grant you a 40-foot fly speed (poor maneuverability).","Horror Adventures"
"Torpid Reanimation","necromancy","","evil","antipaladin 4, cleric/oracle 4, occultist 4, shaman 4, sorcerer/wizard 5, spiritualist 4","1 standard action","V, S, M (an onyx gem worth at least 25 gp per HD of the undead)","1","touch","","","one or more corpses touched","1 day/caster level and instantaneous (see text)","0","0","none","no","This spell works like animate dead except you set a specific condition for when the animation occurs and you do not immediately have control of the creatures. The condition can be simple, such as being touched, a certain word spoken, or on hearing a specific sound. You can also set a condition based on time, but it must occur within a number of days equal to your caster level. At any time, you can cause the animation to occur as a standard action.  You can gain control of any uncontrolled undead you created with this spell as a free action if you are within at least 60 feet of the undead creature and have line of sight to it; if you have control of an undead you created with this spell and later lose control of that undead, you can't use this ability to regain control of the same undead. The limit on the number of Hit Dice you can control with animate dead still applies.","Horror Adventures"
"Verminous Transformation","transmutation","polymorph","","alchemist 6, shaman 7, witch 7","1 standard action","V, S, M (a handful of bat wings, insects, and rat tails)","0","personal","","","you","1 round/level (D)","1","0","","","You partially transform your body into a swarm of bats, insects, rats, and spiders. As a standard action, you can send out a piece of your body to attack up to four Medium or smaller creatures (or one larger creature) within 10 feet of you. The creatures take 4d6 points of damage and must succeed at a Fortitude save or take 1d3 points of Constitution damage and 1d3 points of Strength damage; the ability damage is a poison effect. Abilities that protect against swarm attacks apply to this damage and spell resistance applies.  Additionally, since your body is partially a swarm, you take only half damage from piercing and slashing attacks, unless those attacks would deal full damage or greater to a swarm (for instance, an area piercing attack would deal full damage to you). You can still be targeted by single-target spells but you gain a +2 circumstance bonus on any saving throws against them.  Casting spells in this form is difficult and any spells with somatic components require a concentration check as if casting defensively; if you are also casting the spell defensively, roll a single concentration check at a -5 penalty.","Horror Adventures"
"Vile Dog Transformation","transmutation","polymorph","evil","antipaladin 3, cleric/oracle 5, druid 5, shaman 5, sorcerer/wizard 5, witch 5","10 minutes","V, S, M (a strip of leather)","0","touch","","","one or more dogs touched","1 hour/level","0","0","Will negates (see text)","no","You transform one or more dogs into evil, monstrous creatures. Each dog can attempt a Will save to negate the transformation, but if the dog trusts you (it has been trained by you for a purpose, or has been in your care for at least 30 days and generally treated well), it takes a -4 penalty on this saving throw. Each transformed dog has the same stats as a hell hound (Bestiary 173) except that it doesn't have fire immunity and cold vulnerability and instead has acid, cold, and fire resistance 5. Additionally, each transformed dog deals an extra 1d6 points of acid damage with its bite attack (instead of fire damage), and its breath weapon is replaced with a vaporous cloud that spreads out in front of the creature in a 10-foot cone, dealing 2d4 points of acid damage. The creature can't understand Infernal but understands any languages you know. The dog is normally neutral evil, but is chaotic evil if you are chaotic or lawful evil if you are lawful.  For every 3 caster levels you have, you can transform one dog (to a maximum of five dogs at 15th level). At the end of the spell's duration, the dogs immediately dissolve into a stinking pile of gore and bones.  You can command the creature in the same way you would a creature you summoned via a summon monster spell. If you buy dogs to use with this spell, they cost 15 gp for a lap dog, 25 gp for a guard dog, or 150 gp for a riding dog (Pathfinder RPG Ultimate Equipment 82). Any kind of dog can be transformed by this spell and has the same statistics.","Horror Adventures"
"Waves Of Blood","conjuration","creation","","bloodrager 3, magus 3, psychic 3, sorcerer/wizard 3, spiritualist 3, witch 3","1 standard action","V, S, M (a drop of the caster's blood)","0","30 ft.","cone-shaped burst","","","instantaneous and 1 round; see text","0","0","Reflex negates, Fortitude negates (see text)","no","You cause torrents of roiling blood to push your opponents away from you. This wave attempts a bull rush combat maneuver against all creatures within its area of effect, and you bull rush creatures of any size in this way. Attempt a single combat maneuver check and apply the result to each creature within the area. Your CMB for this bull rush is equal to your caster level plus your Intelligence, Wisdom, or Charisma modifier, whichever is highest. This bull rush doesn't provoke attacks of opportunity. Any creature in the area  must also succeed at a Fortitude saving throw or become sickened for 1d6 rounds by the tide of blood.  The area covered by the cone remains slick for 1 round, requiring a successful DC 10 Acrobatics check from any creature attempting to move within it (as if moving on uneven ground). Any creature that falls prone due to failing the check must succeed at a Fortitude save or become sickened until it stands back up.","Horror Adventures"
