"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Shadowfade","illusion","shadow","","bard 1, inquisitor 1, magus 1, mesmerist 1, sorcerer/wizard 1, summoner/unchained summoner 1","1 standard action","V, S, M (a blindfold)","0","touch","","","creature touched","1 minutes/level (D)","1","0","Will negates (harmless)","yes (harmless)","In areas of darkness, the target of shadowfade is invisible to creatures using darkvision to see. In areas of dim light, the target gains concealment against creatures using darkvision. This spell has no effect in areas of normal light or brighter, and is automatically dispelled if the target enters an area of bright light or takes a hostile action.","Heroes Of The Darklands"
"Skyshroud","divination","scrying","","bard 3, cleric/oracle 3, skald 3, sorcerer/wizard 3","1 minute","V, S, F (a jar of earth from the surface)","0","long (400 ft. + 40 ft./level); see text","","hemisphere that cannot extend beyond four 10-ft. cubes + one 10-ft. cube/level (S)","","1 hour/level","0","0","none","no","The caster designates the area of a hemisphere within the spell's range. If a solid object would block the creation of the hemisphere (such as a ceiling or wall), the spell instead conforms to the geometry of the location up to the maximum area of effect for the spell. The hemisphere displays an image of the sky as it appears directly above where the spell was cast. This effect bypasses natural impediments, such as rock or stone, that would obstruct the targeted location from the sky.  The image of the sky created by this spell counts as the actual sky for purposes of effects that require view of the sky, sun, stars, or other features (including for spell preparation or  deific obediences). It does not enable spells or effects that draw effects from the sky (such as call lightning).  Light created by this effect functions normally and harms creatures vulnerable to bright light or direct sunlight.","Heroes Of The Darklands"
"Concealed Breath","transmutation","","","alchemist 4, cleric/oracle 4, druid 4, shaman 4, sorcerer/wizard 4, summoner/unchained summoner 4","1 standard action","S, M/DF (a palm-sized stone)","0","touch","","","living creatures touched","1 hour/level; see text","0","0","Will negates (harmless)","yes (harmless)","This spell allows affected creatures to hold their breath freely without negative effects or risk of suffocation. Divide the duration evenly among all creatures touched. A creature that doesn't need to breathe because of this spell is not at risk of drowning and is immune to effects that require breathing, such as inhaled poisons. This does not grant immunity to cloud or gas attacks that don't require breathing. While a creature is holding its breath, it can't speak or cast spells with a verbal component (unless it's using Silent Spell). This spell does not prevent a creature from breathing normally; it just removes the need for the creature to breathe.","Heroes Of The Darklands"
"Morning Sun","evocation","","light","cleric/oracle 7, druid 7, inquisitor 6, shaman 7","1 standard action","V, S, M (500 gp worth of gold dust)","1","close (25 ft. + 5 ft./2 levels)","60-ft. radius","","","1 minute/level (D)","1","0","Fortitude negates and Reflex half, see text","no","This spell conjures a miniature sphere of sunlight, approximately the size of a human fist, at a desired location within range. The sphere sheds bright light in a 60-foot-radius burst. Creatures that take penalties in bright light do so while within the sphere's area of illumination. Creatures that start their turns within the area of illumination and that are damaged or destroyed by sunlight must succeed at a Fortitude save or become staggered until 1d4+1 rounds after they leave the affected area. Non-creatures, such as hazardous fungi and mold that are destroyed by sunlight, become inert for the duration of the spell.  The sphere cannot be moved from the place it was cast. The sphere deals 10d6 points of fire damage to anything it touches and anything that passes within 5 feet of it. A successful Reflex save reduces this damage by half.","Heroes Of The Darklands"
"Pale Flame","evocation","","fire","druid 2, shaman 2","1 standard action","V, S, M (caphorite shard)","0","0 ft.","","flame in your palm","","1 minute/level (D)","1","0","none","yes","This spell functions as per produce flame, except that the  flames never glow brighter than dim light, including any fires started by this spell. These flames cast light only half the distance of a torch and cannot be seen from more than 100 feet away. The flames deal 2d6 points of fire damage + 1 point per caster level (maximum +5). Against plants, this damage increases to 2d6 points + 2 points per caster level (maximum +10).","Heroes Of The Darklands"
"Radiation Ward","abjuration","","","alchemist 2, cleric/oracle 2, druid 2, ranger 1, shaman 2, sorcerer/wizard 2","1 standard action","V, S","0","touch","","","creature touched","1 hour/level (D)","1","0","Fort negates (harmless)","yes (harmless)","A creature warded by this spell gains a +4 bonus on saving throws against radiation-based effects. In addition, the warded creature is immediately aware when it enters an area  of radiation, as well as the radiation level (low, medium, high, or severe) suffusing the area.","Heroes Of The Darklands"
"Animus Mine","abjuration","","mind-affecting","mesmerist 2, psychic 3","1 standard action","V, S","0","personal","","","","1 hour/level or until discharged","0","0","Will negates (harmless)","no","You implant a mental mine within your psyche that triggers against anyone attempting to manipulate your thoughts. Any creature that uses a mind-affecting effect against you triggers the mine, causing psychic backlash against the offending creature. This backlash deals 1d6 points of damage per caster level (maximum 10d6) and staggers the target for 1d4 rounds.  If the target succeeds at a Will saving throw, it takes only half damage and negates the staggered effect. The mine does not disrupt the mind-affecting effect that triggered the spell. You can use a swift action to suppress the trigger of your mine for 1 round to allow someone to use a mind-affecting effect on you. You can have only one mental mine active at a time.","Heroes Of The Darklands"
"Animus Mine, Greater","abjuration","","mind-affecting","mesmerist 4, psychic 5","1 standard action","V, S","0","personal","","","","1 hour/level or until discharged","0","0","Will negates (harmless)","no","This functions as per animus mine, except the triggering creature is stunned for 1d4 rounds instead of staggered. If the target succeeds at a Will saving throw, it takes only half damage and negates the stunned effect. If the target fails this Will saving throw, you automatically succeed at any saving throw against the mind-affecting effect that triggered the mine.","Heroes Of The Darklands"
"Entomb","transmutation","","earth","druid 8, shaman 8, sorcerer/wizard 8","1 minute","V, S, M (a pristine geode worth at least 1,000 gp)","1","medium (100 ft. + 10 ft./level)","","up to three 10-ft. cubes/level (S)","","permanent","0","0","none","no","You designate an aboveground area and send it deep within the earth. During the casting of this spell, the chosen area is rocked by minor tremors that alert nearby creatures to the impending danger. Once the spell is complete, the chosen area is drawn into the earth and buried in a self-contained vault, with the uppermost point at a depth of up to 10 feet per caster level below the surface. The surrounding atmosphere and all creatures within the selected area at the end of the spell's casting time are entombed in this vault.  The magic of the vault maintains the natural light, temperature, and air quality of the area as it originally existed aboveground, but any magical effects that affected these qualities do not have their duration extended. For example, a sunny field would remain brightly lit indefinitely, despite being buried underground, while a daylight spell would expire at the end of that spell's duration.  When creating the vault, you can leave a tunnel to the surface world (up to 20 feet wide), or you can completely isolate the vault from the outside world. Casting this spell does not destroy or damage anything that may have existed in the ground where you choose to place this vault, but instead pushes it farther down into the earth. Should your vault be dispelled, the entombed area returns to the surface, and anything that may have been displaced by the vault returns to its original place. If there is something already on the surface that blocks the vault's path, the vault pushes it harmlessly aside when returning.","Heroes Of The Darklands"
"Intensify Psyche","enchantment","","emotion, mind-affecting","bard 1, cleric/oracle 2, medium 2, mesmerist 1, psychic 2, sorcerer/wizard 2, spiritualist 2, witch 2","1 standard action","V, S","0","medium (100 ft. + 10 ft. level)","","one creature","","1 minute/level","0","0","Will negates","yes","A sense of euphoria suffuses the target, amplifying all sensations, good or bad. The target creature gains a +2 competence bonus on Diplomacy, Handle Animal, Perform, and Sense Motive checks. In addition, the DC for any spells or effects with the emotion or pain descriptors cast or caused by the target increases by 1 while the target is under the effects of the spell. However, increased sensitivity causes the target to take a -2 penalty on saving throws against spells and effects with the emotion or pain descriptor.","Heroes Of The Darklands"
