"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Invisibility Purge","evocation","","","cleric/oracle 3, inquisitor 3, occultist 3, spiritualist 3","1 standard action","V, S","0","personal","","","you","1 min./level","1","0","","","You surround yourself with a sphere of power with a radius of 5 feet per caster level that negates all forms of invisibility.  Anything invisible becomes visible while in the area.","PFRPG Core"
"Invisibility Sphere","illusion","glamer","","bard 3, sorcerer/wizard 3, occultist 3, psychic 3, mesmerist 3, unchained summoner 3","1 standard action","V, S, M","0","","10-ft.-radius emanation around the creature","","","1 min./level (D)","1","0","Will negates (harmless)","yes (harmless)","This spell functions like invisibility, except that this spell confers invisibility upon all creatures within 10 feet of the recipient at the time the spell is cast. The center of the effect is mobile with the recipient.  Those affected by this spell can see each other and themselves as if unaffected by the spell. Any affected creature moving out of the area becomes visible, but creatures moving into the area after the spell is cast do not become invisible.  Affected creatures (other than the recipient) who attack negate the invisibility only for themselves. If the spell recipient attacks, the invisibility sphere ends.","PFRPG Core"
"Iron Body","transmutation","","","sorcerer/wizard 8, psychic 8","1 standard action","V, S, M/DF (a piece of iron from an iron golem, a hero's armor, or a war machine)","0","personal","","","you","1 min./level","1","0","","","This spell transforms your body into living iron, which grants you several powerful resistances and abilities. You gain damage reduction 15/adamantine. You are immune to blindness, critical hits, ability score damage, deafness, disease, drowning, electricity, poison, stunning, and all spells or attacks that affect your physiology or respiration, because you have no physiology or respiration while this spell is in effect. You take only half damage from acid and fire.  However, you also become vulnerable to all special attacks that affect iron golems (see the Pathfinder RPG Bestiary).  You gain a +6 enhancement bonus to your Strength score, but you take a -6 penalty to Dexterity as well (to a minimum Dexterity score of 1), and your speed is reduced to half normal. You have an arcane spell failure chance of 35% and a -6 armor check penalty, just as if you were clad in full plate armor. You cannot drink (and thus can't use potions) or play wind instruments.  Your unarmed attack deals damage equal to a club sized for you (1d4 for Small characters or 1d6 for Medium characters), and you are considered armed when making unarmed attacks.  Your weight increases by a factor of 10, causing you to sink in water like a stone. However, you could survive the lack of air at the bottom of the ocean-at least until the spell duration expires.","PFRPG Core"
"Ironwood","transmutation","","","druid 6, occultist 6","1 minute/lb. created","V, S, F (wood to be transformed)","0","0 ft.","","an ironwood object weighing up to 5 lbs./level","","1 day/level","1","0","none","no","Ironwood is a magical substance created by druids from normal wood. While remaining natural wood in almost every way, ironwood is as strong, heavy, and resistant to fire as steel. Spells that affect metal or iron do not function on ironwood. Spells that affect wood do affect ironwood, although ironwood does not burn. Using this spell with wood shape or a wood-related Craft check, you can fashion wooden items that function as steel items. Thus, wooden plate armor and wooden swords can be created that are as durable as their normal steel counterparts. These items are freely usable by druids.  Further, if you make only half as much ironwood as the spell would normally allow, any weapon, shield, or suit of armor so created is treated as a magic item with a +1 enhancement bonus.","PFRPG Core"
"Irresistible Dance","enchantment","compulsion","mind-affecting","bard 6, sorcerer/wizard 8, witch 8, shaman 8, psychic 8, mesmerist 6","1 standard action","V","0","touch","","","living creature touched","1d4+1 rounds","0","0","Will partial","yes","The subject feels an undeniable urge to dance and begins doing so, complete with foot shuffling and tapping. The spell effect makes it impossible for the subject to do anything other than caper and prance in place. The effect imposes a -4 penalty to Armor Class and a -10 penalty on Reflex saves, and it negates any AC bonus granted by a shield the target holds. The dancing subject provokes attacks of opportunity each round on its turn. A successful Will save reduces the duration of this effect to 1 round.","PFRPG Core"
"Jump","transmutation","","","druid 1, ranger 1, sorcerer/wizard 1, alchemist 1, summoner/unchained summoner 1, alchemist 1, magus 1, bloodrager 1, psychic 1","1 standard action","V, S, M (a grasshopper's hind leg)","0","touch","","","creature touched","1 min./level","1","0","Will negates (harmless)","yes","The subject gets a +10 enhancement bonus on Acrobatics checks made to attempt high jumps or long jumps. The enhancement bonus increases to +20 at caster level 5th, and to +30 (the maximum) at caster level 9th.","PFRPG Core"
"Keen Edge","transmutation","","","sorcerer/wizard 3, inquisitor 3, magus 3, bloodrager 3, occultist 3","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one weapon or 50 projectiles, all of which must be together at the time of casting","10 min./level","0","0","Will negates (harmless, object)","yes (harmless, object)","This spell makes a weapon magically keen, improving its ability to deal telling blows. This transmutation doubles the threat range of the weapon. A threat range of 20 becomes 19-20, a threat range of 19-20 becomes 17-20, and a threat range of 18-20 becomes 15-20. The spell can be cast only on piercing or slashing weapons. If cast on arrows or crossbow bolts, the keen edge on a particular projectile ends after one use, whether or not the missile strikes its intended target. Treat shuriken as arrows, rather than as thrown weapons, for the purpose of this spell. Multiple effects that increase a weapon's threat range (such as the keen special weapon property and the Improved Critical feat) don't stack. You can't cast this spell on a natural weapon, such as a claw.","PFRPG Core"
"Knock","transmutation","","","sorcerer/wizard 2, inquisitor 2, occultist 2, psychic 2, mesmerist 2, medium 2","1 standard action","V","0","medium (100 ft. + 10 ft./level)","","","one door, box, or chest with an area of up to 10 sq. ft./level","instantaneous; see text","0","0","none","no","Knock opens stuck, barred, or locked doors, as well as those subject to hold portal or arcane lock. When you complete the casting of this spell, make a caster level check against the DC of the lock with a +10 bonus. If successful, knock opens up to two means of closure. This spell opens secret doors, as well as locked or trick-opening boxes or chests. It also loosens welds, shackles, or chains (provided they serve to hold something shut). If used to open an arcane locked door, the spell does not remove the arcane lock but simply suspends its functioning for 10 minutes.  In all other cases, the door does not relock itself or become stuck again on its own. Knock does not raise barred gates or similar impediments (such as a portcullis), nor does it affect ropes, vines, and the like. The effect is limited by the area. Each casting can undo as many as two means of preventing access.","PFRPG Core"
"Know Direction","divination","","","bard 0, druid 0, shaman 0, occultist 0, psychic 0","1 standard action","V, S","0","personal","","","you","instantaneous","0","0","","","When you cast this spell, you instantly know the direction of north from your current position. The spell is effective in any environment in which ""north"" exists, but it may not work in extraplanar settings. Your knowledge of north is correct at the moment of casting, but you can get lost again within moments if you don't find some external reference point to help you keep track of direction.","PFRPG Core"
"Legend Lore","divination","","","bard 4, sorcerer/wizard 6, witch 6, inquisitor 6, occultist 6, psychic 6, spiritualist 6, medium 4","see text","V, S, M (incense worth 250 gp), F (four pieces of ivory worth 50 gp each)","1","personal","","","you","see text","0","0","","","Legend lore brings to your mind legends about an important person, place, or thing. If the person or thing is at hand, or if you are in the place in question, the casting time is only 1d4 x 10 minutes. If you have only detailed information on the person, place, or thing, the casting time is 1d10 days, and the resulting lore is less complete and specific (though it often provides enough information to help you find the person, place, or thing, thus allowing a better legend lore result next time). If you know only rumors, the casting time is 2d6 weeks, and the resulting lore is vague and incomplete (though it often directs you to more detailed information, thus allowing a better legend lore result next time).  During the casting, you cannot engage in other than routine activities: eating, sleeping, and so forth. When completed, the divination brings legends (if any) about the person, place, or things to your mind. These may be legends that are still current, legends that have been forgotten, or even information that has never been generally known. If the person, place, or thing is not of legendary importance, you gain no information. As a rule of thumb, characters who are 11th level and higher are ""legendary,"" as are the sorts of creatures they contend with, the major magic items they wield, and the places where they perform their key deeds.","PFRPG Core"
"Levitate","transmutation","","","sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, witch 2, magus 2, shaman 2, occultist 2, psychic 2, mesmerist 2, spiritualist 2, medium 2","1 standard action","V, S, F (a leather loop or golden wire bent into a cup shape)","0","personal or close (25 ft. + 5 ft./2 levels)","","","you or one willing creature or one object (total weight up to 100 lbs./level)","1 min./level","1","0","none","no","Levitate allows you to move yourself, another creature, or an object up and down as you wish. A creature must be willing to be levitated, and an object must be unattended or possessed by a willing creature. You can mentally direct the recipient to move up or down as much as 20 feet each round; doing so is a move action.  You cannot move the recipient horizontally, but the recipient could clamber along the face of a cliff, for example, or push against a ceiling to move laterally (generally at half its base land speed).  A levitating creature that attacks with a melee or ranged weapon finds itself increasingly unstable; the first attack has a -1 penalty on attack rolls, the second -2, and so on, to a maximum penalty of -5. A full round spent stabilizing allows the creature to begin again at -1.","PFRPG Core"
"Light","evocation","","light","bard 0, cleric/oracle 0, druid 0, inquisitor 0, magus 0, sorcerer/wizard 0, summoner/unchained summoner 0, witch 0, shaman 0, occultist 0, psychic 0, mesmerist 0, spiritualist 0, medium 0","1 standard action","V, M/DF (a firefly)","0","touch","","","object touched","10 min./level","0","0","none","no","This spell causes a touched object to glow like a torch, shedding normal light in a 20-foot radius from the point touched, and increasing the light level for an additional 20 feet by one step, up to normal light (darkness becomes dim light, and dim light becomes normal light). In an area of normal or bright light, this spell has no effect. The effect is immobile, but it can be cast on a movable object.  You can only have one light spell active at any one time. If you cast this spell while another casting is still in effect, the previous casting is dispelled. If you make this spell permanent (through permanency or a similar effect), it does not count against this limit. Light can be used to counter or dispel any darkness spell of equal or lower spell level.","PFRPG Core"
