"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Crimson Confession","abjuration","","","sorcerer/wizard 2, witch 2, occultist 2, psychic 2","10 minutes","V, S","0","touch","object touched or up to 1 sq. ft.","","object touched or up to 1 sq. ft.","permanent and 1 hour/level (see text)","0","0","Fortitude negates","yes","You ward an object or an area with your personal rune or mark. You can choose for the writing to be visible or invisible, and it doesn't harm the material upon which it is placed. A detect magic spell causes an invisible mark to glow and be visible. If any creature other than you touches the warded object or area and fails a Fortitude save, its skin turns bright red for 1 hour per level. This coloring cannot be washed away, but it can be dispelled.  See invisibility, true seeing, a gem of seeing, or a robe of eyes likewise allows the user to see an invisible mark. A read magic spell reveals the words, if any. The ward cannot be dispelled, but it can be removed by the caster or by an erase spell.","Advanced Class Guide"
"Curse Of Burning Sleep","transmutation","","curse, fire","shaman 4, sorcerer/wizard 4, witch 4, psychic 4","1 standard action","V, S, M (a feather and a drop of oil)","0","close (25 ft. + 5 ft./2 levels)","","","one creature","permanent until triggered (see text)","0","0","Will negates (see text)","yes","You place a curse upon the target that triggers 1 hour after the next time it falls asleep. When the curse is triggered, the creature bursts into flame, taking 1d6 points of fire damage per 2 caster levels (maximum 8d6). Furthermore, it catches on fire, taking 2d6 points of fire damage per round at the end of its turn each round until the creature dies or is quenched as normal (Core Rulebook 444). If the target is still asleep, the fire damage from this spell wakes it.  Only one of these spells can be in place on a creature at any time. This has no effect on creatures that don't sleep.","Advanced Class Guide"
"Dimensional Bounce","conjuration","teleportation","","sorcerer/wizard 7, summoner/unchained summoner 6, witch 7, psychic 7","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","you and touched objects or other touched willing creatures","1 round/level or until discharged","0","0","none and Will negates (object)","no and yes (object)","You designate two locations within range and create a dimensional link between them; you must have line of effect to both locations when casting this spell. As a swift action, you can teleport from your current location to either of the designated locations as if you had cast dimension door. The spell is discharged once you have used it to teleport a number of times equal to one-fourth your caster level (maximum 5 times).","Advanced Class Guide"
"Disable Construct","transmutation","","","alchemist 3, sorcerer/wizard 3, witch 3","1 standard action","V, S","0","touch","","","construct touched","1 round/level (D)","1","0","Will negates","no","You can make a melee touch attack to send a pulse into the target, interfering with the magic that endows it with life. If the construct fails its saving throw, it becomes helpless, but it receives a new save each round at the end of its turn to shake off the effect. If the construct is normally immune to magic, the pulse is less effective and the construct receives a +4 bonus on its saving throw.","Advanced Class Guide"
"Discern Next Of Kin","divination","","mind-affecting","bard 1, shaman 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1, mesmerist 1, spiritualist 1, medium 1","1 standard action","V, S, F (a copper piece)","0","60 ft.","","","one creature","concentration, up to 1 minute/level (D)","1","0","Will negates (see text)","yes","You can scan the thoughts of one individual and learn the names and locations of the target's living relatives, as well as the attitude of the target toward those relatives (and vice versa). You learn about one relative per round you concentrate on the target. For example, you might learn that the target's father's name is Jarn, the father lives on a nearby farm, and the target and his father don't get along.  Since this spell reads the target's mind, you can learn only what the target knows or believes.","Advanced Class Guide"
"Disguise Weapon","illusion","glamer","","bard 1, magus 1, sorcerer/wizard 1, witch 1, psychic 1, mesmerist 1, medium 1","1 round","V, S","0","touch","","","manufactured weapon touched","1 hour/level (D)","1","0","none","no","You make one manufactured weapon look like a different manufactured weapon of the same size and relative encumbrance (light, one-handed, or two-handed). For example, you could make a Small greatsword look like a Small quarterstaff, a Medium club, or a Large dagger. Even the appearance of an improvised weapon is possible. The extent of the apparent change is up to you. You could add or obscure a minor feature or make the item look like it is composed of different materials (stone, wood, adamantine, and so on). The spell does not provide any of the abilities of the chosen form, nor does it alter the perceived tactile or audible properties of the item or how it is wielded. A creature that interacts with the glamer may attempt a Will save to recognize it as an illusion.","Advanced Class Guide"
"Enchantment Foil","abjuration","","","alchemist 4, cleric/oracle 4, inquisitor 4, sorcerer/wizard 4, witch 4, occultist 4, psychic 4, mesmerist 3","1 standard action","V, S","0","personal","","","you","1 hour/level (see text)","0","0","","","You gain a +4 bonus on saving throws against enchantment effects. If you succeed at a save against an enchantment effect, you identify the effect as if you had succeeded at a Spellcraft check to do so. Furthermore, you can choose to act as if you had failed your saving throw. If you do so, you gain a +20 bonus on Bluff checks to convince others that you failed your save and are under the enchantment's effects. A creature that attempts to use magic to detect this ruse or to make you speak truthfully about it must succeed at a caster level check (DC 15 + your caster level) to do so.","Advanced Class Guide"
"Enemy Insight","divination","","","ranger 2","1 standard action","V, S, DF","0","close (25 ft. + 5 ft./2 levels)","","","you plus one willing creature/3 levels, no two of which can be more than 30 ft. apart","1 minute/level","0","0","none","no","You forge a mental bond between yourself and the other targets, each of which must have an Intelligence score of 3 or higher. Choose one of your favored enemy types (such as goblinoids or magical beasts). You grant the targets half your favored enemy bonus against that type of creature. If any target moves out of range, the spell ends for it.","Advanced Class Guide"
"Euphoric Cloud","conjuration","creation","poison","druid 2, magus 2, sorcerer/wizard 2, witch 2, psychic 2, mesmerist 2","1 standard action","V, S, M (rare mushrooms worth 5 gp)","1","medium (100 ft. + 10 ft./level)","","fog spreads in 20-ft. radius, 20 ft. high","","1 round/level","0","0","Fortitude negates (see text)","no","You create a bank of fog similar to that created by fog cloud except its vapors are intoxicating. Living creatures in the cloud become fascinated. This condition lasts as long as a creature is in the cloud and for 1d4+1 rounds after it leaves.  Any creature that succeeds at its save but remains in the cloud must continue to save each round on your turn.","Advanced Class Guide"
"Extreme Flexibility","transmutation","","","alchemist 2, bloodrager 2, magus 2, sorcerer/wizard 2, witch 2, psychic 2, medium 2","1 standard action","V, S","0","personal","","","you","1 minute/level","0","0","","","You gain a +1 dodge bonus to AC, a +4 circumstance bonus on Escape Artist checks and combat maneuver checks to escape a grapple, and a +4 circumstance bonus to your CMD against grapple attempts.","Advanced Class Guide"
"Eyes Of The Void","transmutation","","","alchemist 4, antipaladin 4, sorcerer/wizard 4, psychic 4","1 standard action","V, S, M (a pinch of dried carrot or an agate)","0","personal","","","you","10 minutes/level","0","0","","","You gain darkvision, the ability to see 60 feet even in total darkness, including that created by deeper darkness.  Darkvision is black-and-white only, but otherwise like normal sight. While affected, your eyes turn completely black (but appear white to anyone viewing you with darkvision).","Advanced Class Guide"
"Fairy Ring Retreat","conjuration","creation","","druid 7, shaman 7, witch 7","1 standard action","V, S, DF","0","close (25 ft. + 5 ft./2 levels)","","extradimensional meadow, up to three 10-ft. cubes/level (S)","","2 hours/level (D)","1","0","none","no","You conjure up an extradimensional meadow that can be accessed from a single entrance on the plane from which the spell was cast. The entry point looks like a circle of toadstools enclosing a 10-foot square. Only those you designate can enter the meadow before you do, and the portal is shut and made invisible behind you when you enter. You can open it again from your own side at will. Once a visitor has passed through the entry point, they find themselves in an idyllic twilight meadow surrounded by an impassable grove of fruit and nut trees. The atmosphere is clean, fresh, and warm.  You can configure the meadow into any shape you desire, to the limit of the spell's effect. The place is comfortable and temperate. The trees can provide enough food to sustain 4 people per caster level for a day. A staff of near-transparent animal or feylike servants (as many as two per caster level) wait upon all who enter. The servants function as unseen servant spells except that they are visible and can go anywhere in the meadow.  Since the place can be entered only through its special portal, outside conditions do not affect the meadow, nor do conditions inside it pass to the plane beyond.","Advanced Class Guide"
"Familiar Double","illusion","shadow","","witch 7","1 standard action","V, S, M (a small replica of you worth 5 gp)","1","medium (100 ft. + 10 ft./level)","","one shadow duplicate","","1 round/level (D)","1","0","Will disbelief (if interacted with)","no","This spell functions as project image, except the image appears in your familiar's square and moves when your familiar moves.","Advanced Class Guide"
"Feast On Fear","necromancy","","emotion, fear, mind-affecting","bard 4, shaman 5, sorcerer/wizard 5, witch 5, psychic 5, mesmerist 4, spiritualist 5","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one or more living creatures (see text)","1 round/level","0","0","Fortitude negates","yes","Each round, as a standard action, you can target a single living creature of up to 9 HD and strike it with terrifying waves of power. If the target fails its saving throw,  it becomes panicked for 1d4 rounds, and you gain 5 temporary hit points (which disappear after 1 hour). After the panic ends, the creature remains shaken for 10 minutes per caster level, and it automatically becomes panicked again if it comes within sight of you during that time.  These temporary hit points stack if they come from different creatures.","Advanced Class Guide"
"Flaming Sphere, Greater","evocation","","fire","bloodrager 4, druid 4, magus 4, sorcerer/wizard 4, occultist 4","1 standard action","V, S, M/DF (tallow, brimstone, and powdered iron)","0","medium (100 ft. + 10 ft./level)","","5-ft.-diameter sphere","","1 round/level","0","0","Reflex negates (see text)","yes","This spell functions as flaming sphere, except that it deals 6d6 points of fire damage to any creature it strikes.  Any creature that fails its save against the sphere catches on fire (see page 444 of the Core Rulebook). If a creature catches on fire, the DC to extinguish the flames is equal to the DC of this spell.","Advanced Class Guide"
"Flexible Fury","transmutation","","","bard 3","1 standard action","V, S","0","personal","","","you","1 round/level","0","0","","","You swap one of your current rage powers for another rage power you qualify for. If the rage power granted by this spell has a use limitation (such as once per rage or a number of times per day), any uses of that rage power count toward that limit (including for later castings of this spell).  If you swap out a rage power that is required to qualify for another one of your rage powers, you cannot use any rage powers dependent on the one you swapped out until the spell ends. For example, if you have the intimidating glare and terrifying howl rage powers and you swap out intimidating glare for surprise accuracy, you cannot use terrifying howl until the spell ends.","Advanced Class Guide"
"Focused Scrutiny","divination","","","alchemist 2, bard 2, inquisitor 2, shaman 2, psychic 2, mesmerist 2, medium 2","1 standard action","V, S","0","personal","","","you","10 minutes/level (D)","1","0","","","You gain heightened sensitivity to the mannerisms, reactions, and body language of one creature you can perceive, allowing you to sense its state of mind and easily influence it. You gain a +10 bonus on Perception, Sense Motive, and Survival checks attempted against the target creature, as well as a +5 bonus on Diplomacy and Intimidate checks attempted against it.","Advanced Class Guide"
"Font Of Spirit Magic","conjuration","creation","","shaman 3","1 standard action","V, S, M (gold dust worth 50 gp)","1","30 ft.","30-ft.-radius emanation centered on you","","","concentration + 1 round/level","0","0","Will negates (harmless)","no","You amplify the effect of magic associated with your spirit and your wandering spirit (any spells on the spirit magic spell lists for these spirits). When allies within the area cast these spells, they gain a +2 bonus on caster level checks and  concentration checks, as well as to spell DCs. This bonus is a sacred bonus if you are good-aligned or a profane bonus if you are evil-aligned; if you are neither good nor evil, you can choose what type of bonus the spell grants when you cast it.","Advanced Class Guide"
"Gentle Breeze","evocation","","air","druid 1, shaman 1, sorcerer/wizard 1, witch 1","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one creature or object","1 hour (D)","1","0","Will negates (harmless)","yes (harmless)","You create a light wind that blows only against the target, from a direction of your choice. The breeze grants the target a +2 circumstance bonus on saves against very hot conditions, severe heat, and saves against clouds, vapors, and gases (such as cloudkill, stinking cloud, and inhaled poisons). There must be air present to use this spell.","Advanced Class Guide"
"Glue Seal","conjuration","creation","","bard 1, magus 1, sorcerer/wizard 1, summoner/unchained summoner 1, psychic 1","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one object or one 5-ft. square","1 minute/level (D)","1","0","see text","no","You cover a solid surface with a layer of sticky glue. Anyone in the area when the spell is cast must attempt a Reflex save. Those who fail become entangled, but can break free by succeeding at a combat maneuver check or an Escape Artist check as a standard action against the DC of this spell. The area of the spell is considered difficult terrain. A creature moving through the glue must succeed at a combat maneuver check or an Escape Artist check as part of its move action (DC = the spell's DC). Creatures that fail lose their movement and become entangled in the first square they enter.  The spell can also be used to create a sticky coating on an item. A creature holding a targeted item can attempt a Reflex saving throw against the spell's DC. If the initial saving throw succeeds, the item is unaffected. If it fails, the item is stuck in place. If an affected item is connected to another item (such as a sword in a sheath or a cork in a potion bottle), it cannot be separated from the other item unless the creature succeeds at a combat maneuver check or a Strength check as a move action to free it (DC = the spell's DC). A creature must succeed at saving throw each time it attempts to use the sticky item; otherwise, the item becomes stuck to the creature. Sticky armor or clothing imposes a -10 circumstance penalty on Escape Artist checks and combat maneuver checks to escape a grapple attempted by the wearer, as well as to the wearer's CMD to avoid being grappled.","Advanced Class Guide"
"Guardian Of Faith","abjuration","","see text","cleric/oracle 4, paladin 4","1 standard action","V, S, M (parchment with a holy text written on it)","0","close (25 ft. + 5 ft./2 levels)","","","one ally","1 minute/level","0","0","Will negates (harmless)","no","The target gains the benefit of shield of faith and your choice of protection from chaos, evil, good, or law. As a move action, the target can transfer this spell to a touched ally, who becomes the new target of the spell.  The alignment descriptor of this spell matches the alignment descriptor of the protection spell you chose when casting it. For example, granting the target protection from evil gives this spell the good descriptor.","Advanced Class Guide"
"Heart Of The Metal","transmutation","","earth","magus 3, sorcerer/wizard 3, witch 3","1 standard action","V, S, M (a chunk of adamantine worth 100 gp, or a chunk of cold iron or silver worth 20 gp)","1","close (25 ft. + 5 ft./2 levels)","","","one weapon per level","1 minute/level (see text)","0","0","none","no","You lend the nature of adamantine, cold iron, or silver to the targeted weapons, depending on which component you used, with the following effects.  Adamantine: The weapons overcome DR/adamantine and ignore hardness of less than 20.  Cold Iron: The weapons overcome DR/cold iron.  Silver: The weapons overcome DR/silver.  No other advantages or disadvantages of these metal types apply. For example, a weapon given the nature of adamantine is not automatically masterwork.  This spell can affect nonmetal weapons. If you grant the target weapons the property of cold iron, the spell lasts half as long as normal.","Advanced Class Guide"
"Heightened Awareness","divination","","","alchemist 1, bard 1, druid 1, inquisitor 1, ranger 1, shaman 1, sorcerer/wizard 1, occultist 1, psychic 1, mesmerist 1, medium 1","1 standard action","V, M/DF (a coffee bean)","0","personal","","","you","10 minutes/level (D)","1","0","","","You enter a heightened state of awareness that allows you to notice more about your surroundings and recall information effortlessly. You gain a +2 competence bonus on Perception checks and on all Knowledge checks that you are trained in.  If this spell is active when you have to make an initiative check, you can instantly dismiss this spell and gain a +4 bonus on that check.","Advanced Class Guide"
