"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Blood Money","transmutation","","","magus 1, sorcerer/wizard 1, witch 1","1 swift action","V, S","0","0 ft.","","1 material component","","Instantaneous","0","0","","","You cast blood money just before casting another spell. As part of this spell's casting, you must cut one of your hands, releasing a stream of blood that causes you to take 1d6 points of damage. When you cast another spell in that same round, your blood transforms into one material component of your choice required by that second spell. Even valuable components worth more than 1 gp can be created, but creating such material components requires an additional cost of 1 point of Strength damage, plus a further point of damage for every full 500 gp of the component's value (so a component worth 500-999 gp costs a total of 2 points, 1,000-1,500 costs 3, etc.). You cannot create magic items with blood money.  For example, a sorcerer with the spell stoneskin prepared could cast blood money to create the 250 gp worth of diamond dust required by that spell, taking 1d6 points of damage and 1 point of Strength damage in the process.  Material components created by blood money transform back into blood at the end of the round if they have not been used as a material component. Spellcasters who do not have blood cannot cast blood money, and those who are immune to Strength damage (such as undead spellcasters) cannot use blood money to create valuable material components.","RotRL-AE-Appendix"
"Covetous Aura","abjuration","","","bard 5, sorcerer/wizard 5","1 standard action","V, S","0","personal","25-ft.-radius emanation centered on you","","","1 round/level or until discharged","0","0","none","no","Anytime a harmless (so noted by a spell's saving throw description) spell of 3rd level or lower is cast within a covetous aura's area of effect, you may choose to immediately gain the benefit of that spell as if it had also targeted you. The intended target still gains the effect of the spell. You gain the benefits of this duplicated spell only if the caster is in range of the covetous aura. You are considered the caster of the additional spell effect. If the effect allows for multiple targets other than yourself, you cannot use the stolen spell effect to target other creatures-a covetous aura only aids you. Once you choose to gain the benefit of another spell, the covetous aura immediately ends. Rumors hold that this unusual spell was invented thousands of years ago by Runelord Belimarius, who was constantly jealous of other spellcasters' abilities.","RotRL-AE-Appendix"
"Deathwine","necromancy","","","alchemist 2, cleric/oracle 2, sorcerer/wizard 3, witch 3","1 minute","V, S","0","touch","","","1 potion touched/level","1 hour/level","0","0","none (object)","no (object)","This spell allows you to turn a potion into a temporary pool of necromantic energy. Only a potion created using a conjuration (healing) spell can be affected by this spell. An affected potion turns dark red and reveals a necromantic aura if detect magic is cast on it while it remains under this spell's effects.  When you drink a potion affected by this spell, you do not gain the potion's normal effect. Instead, the first necromancy spell you cast within the next minute is cast at a higher caster level. The bonus to caster level is equal to the spell level of the spell used to create the potion that deathwine affects. For example, a 5th-level wizard who drinks deathwine made from a potion of cure serious wounds would cast his next necromancy spell as an 8th-level caster, as cure serious wounds i s a 3 rd-level spell.  In addition, any undead creature (or other creature healed by negative energy) that drinks a potion affected by deathwine is healed of 1d8 points of damage. Any potion not imbibed before this spell's duration expires is destroyed at the end of the deathwine's duration.","RotRL-AE-Appendix"
"Sign Of Wrath","evocation","","force","cleric/oracle 6, sorcerer/wizard 6","1 standard action","V, S, F (a gem worth 1,000 gp inscribed with the Thassilonian symbol of wrath)","1","personal","25-ft.-radius burst centered on you","","","instantaneous","0","0","Reflex half","yes","A giant, glowing symbol of wrath appears below you, forcibly repulsing all nearby creatures. All creatures within the area of effect take 1d6 points of force damage per caster level (maximum 15d6) and are subjected to a bull rush that attempts to push them directly away from you. The blast's bull rush effect has a CMB bonus equal to your caster level + your Intelligence, Wisdom, or Charisma modifier (whichever is highest). You are unaffected by both the spell's damage and its bull rush effect, and may select up to one creature per 4 caster levels to also be ignored by the spells effects.","RotRL-AE-Appendix"
"Swipe","conjuration","teleportation","","bard 2, sorcerer/wizard 3","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one held item","instant","0","0","none","no","By flicking a finger in the appropriate direction and proclaiming ownership, you attempt to magically wrest an item from the target's grip and summon it to your hand. To claim an object held by an opponent, you must make a CMB check-this check has a bonus equal to your caster level + your Intelligence, Wisdom, or Charisma modifier (whichever is highest). If you fail this check, the target retains the item and the spell fails. If you succeed, the item teleports into one of your free hands or comes to rest at your feet.","RotRL-AE-Appendix"
"Unconscious Agenda","enchantment","compulsion","language-dependent, mind-affecting","bard 6, inquisitor 6, sorcerer/wizard 6, witch 6","10 minutes","V","0","Close (25 ft. + 5 ft./2 levels)","","","One humanoid","One week/level or until discharged (D)","1","0","Will negates","yes","This spell plants a subconscious directive in the target's mind that forces him to act as you dictate when specific circumstances arise. The target humanoid can be either conscious or unconscious, but must understand your language. Upon casting this spell, you must state a course of action you wish the target to take. This course of action must be described in 20 words or fewer. You must then state the condition under which you wish the target to take this action, also describing it in 20 or fewer words. Actions or conditions more elaborate than 20 words cause the spell to fail. Unconscious agenda cannot compel a target to kill himself, though it can compel him to perform exceedingly dangerous acts, face impossible odds, or undertake almost any other course of activity. You cannot issue new commands to the target after the spell is cast.  If the target fails his save against this spell, he is not compelled to act in any way until the specified trigger circumstances are encountered. He also has no knowledge of the details of the spell affecting him, and has no memory of the last 10 minutes (although he might come to notice the missing time or the presence of the caster). He can function as he wishes until the events you detailed as the condition take place. Upon experiencing the prerequisite condition, the target is forced to perform the course of action you described as per the spell dominate person. (If the compelled action is against the victim's nature, he immediately gains a new saving throw at a +5 bonus against the spell to end its effects.) For the next hour, the target acts as you dictated, doing all he can to fulfill your command. If, at the end of the hour, the target still has not completed your command, the target is released from the enchantment and the spell ends. Once the course of action is completed, the spell ends. The target has full memory of acts performed during this hour.  It's difficult to detect an unconscious agenda before the spell is triggered. Casting detect magic on one affected by it only reveals an aura of enchantment if the caster of detect magic has a higher caster level then the caster of unconscious agenda. Even if the spell is detected, it can only be removed by break enchantment, limited wish, remove curse, miracle, or wish. Dispel magic does not affect unconscious agenda.","RotRL-AE-Appendix"
"Ironbloom Sprouts","transmutation","","","cleric/oracle 1, druid 1","1 standard action","V, S, DF, M (1 gp worth of powdered iron)","1","touch","","","2d4 fresh mushrooms touched","1 day/level","0","0","none","yes","This spell functions like goodberry, except as noted above and that it transforms 2d4 mushrooms into magical ironbloom mushrooms rather than transforming common berries into magical berries. Alternatively, you may create twice as many mushrooms, but each only has the nourishment ability of a goodberry and not the healing properties.","AP 62"
"Bed Of Iron","necromancy","","","inquisitor 1, magus 1, paladin 1, sorcerer/wizard 1","1 standard action","V, S, M (a feather or swatch of soft fabric)","0","touch","","","one creature touched/level","8 hours","0","0","Fortitude negates (harmless)","yes (harmless)","This spell makes even the clunkiest armor feel soft as silk to the wearer. The subjects of this spell are able to sleep comfortably in medium or heavy armor without suffering from fatigue the following day.","Knights Of The Inner Sea"
"Carry Companion","transmutation","","","druid 2, paladin 2, ranger 2, sorcerer/wizard 2, witch 2","1 standard action","V, S, M (a pinch of sand or limestone dust)","0","touch","","","one willing creature touched","permanent; see text","0","0","none","yes (harmless)","You touch an animal or magical beast that has a helpful attitude toward you, instantly transforming the creature into a miniature figurine of stone, small enough to fit into the palm of your hand. Creatures with an attitude of less than helpful will not tolerate this spell, and it automatically fails to work on them. An intelligent animal or magical beast must be a willing subject in order for this spell to take effect. Any items that the creature wears (such as a harness or saddle) or carries (such as those stowed in saddlebags) are transformed along with the creature.  While miniaturized, the creature is under an effect similar to that of a flesh to stone spell: It is mindless and inert, and does not seem alive when viewed with spells like deathwatch. However, you may return the creature to its normal form at any time simply by placing the figurine on the ground, touching it, and uttering a word of command. Otherwise, the creature remains in miniature form unless the spell is broken, such as by dispel magic or stronger magic. Unlike a flesh to stone spell, a creature affected by carry companion is unaffected by stone to flesh. If the miniature figurine is broken or damaged, the creature (if returned to its original state) has similar damage or deformities.","Knights Of The Inner Sea"
"Clarion Call","illusion","","","bard 1, cleric/oracle 1, magus 1, sorcerer/wizard 1","1 standard action","V, S, M (a piece of brass)","0","touch","","","creature touched","10 minutes/level","0","0","Fortitude negates (harmless)","yes (harmless)","The subject of this spell gains two benefits. First, the affected creature gains the ability to create a sound like the blast of a mighty horn or trumpet simply by miming the action of sounding one. Second, the subject can speak in a booming voice that carries easily over great distances, lowering the DC of any check to hear what is said by -15. This spell is particularly prized by battlefield commanders and champions who wish to make themselves clearly heard or gain the attention of their allies or foes.","Knights Of The Inner Sea"
