"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Sphere Of Warding","abjuration","","","cleric/oracle 5, inquisitor 4, witch 5","1 standard action","V, S, DF","0","touch","","10-ft.-radius sphere emanating from point touched","","1 hour/level","0","0","Will negates (see text)","yes","You create a luminescent sphere of orbiting energy that harms incorporeal creatures and dispossesses them of any stolen bodies. An incorporeal creature must succeed at a Will save to enter a space overlapping with the sphere; failure means the creature cannot pass through the sphere, as though it were a wall of force. If the incorporeal creature succeeds, it may pass through the sphere at will, though if it ends its turn within the sphere, it takes a number of points of force damage equal to 1d6 + 1 per caster level (maximum +10).  If a creature possessing another creature's body (via either magic jar or a similar effect) enters a sphere of warding, that creature is immediately ejected from its host body, the host's spirit returns to its body if it's able, and the possession immediately ends. When ejected, the body enters the sphere, while the possessing creature takes the appropriate amount of force damage (no save) and is shunted to the exterior of the sphere.","Undead Slayer's Handbook"
"Carrion Compass","divination","","","cleric/oracle 1, ranger 1, sorcerer/wizard 2, witch 1","1 standard action","V, S","0","close (25 ft. + 5 ft./2 levels)","","","one undead creature","10 minutes/level","0","0","Will negates","no","You animate one of the target's fetid organs so that it leads you to the undead creature's most recent controller or the cause of the creature's undeath.  The organ (typically the heart, the brain, or an eyeball) floats in front of you at chest level and slowly leads you to the undead creature's most recent controller at a rate of 30 feet per round, always staying within your range of vision. If the creature from which the organ originated had no controller, but rather was created deliberately by another creature, the organ instead leads you to that creator.  If the undead was animated by an effect or event at a particular location, the organ leads you to that location.  If the creature was animated by none of the methods above, if it was self-created, or if the creature's most recent controller no longer exists, the spell fails. Once the organ is within 10 feet of its intended destination, the spell ends, and the organ falls to the ground.  The organ cannot engage in combat or execute any other task aside from leading you to its intended target. It may pass through small slits and crevices, though it will not leave your range of vision. The organ cannot travel more than 5 miles from the spot where you cast the spell. If the undead creature to which the organ belonged is destroyed, the spell ends and the organ falls to the ground.","Undead Slayer's Handbook"
"Empower Holy Water","transmutation","","good","alchemist 2, bard 2, paladin 1","1 standard action","V, S","0","touch","","","one or more vials of holy water","1 minute/level","0","0","none (object)","no","You empower a vial of holy water to deal additional damage to undead creatures. You can empower one vial of holy water at 4th level, two at 8th level, and three at 12th level.  When thrown at an undead creature, the affected vial of holy water deals an amount of bonus damage equal to your caster level (maximum +10) on a direct hit, and half that amount of bonus damage (maximum +5) to creatures caught in the splash area. This additional damage is positive energy damage, and has no effect on living creatures.","Undead Slayer's Handbook"
"Force Anchor","conjuration","creation","force","inquisitor 2, magus 2, sorcerer/wizard 3, summoner/unchained summoner 2","1 standard action","V, S, M (a twisted nail)","0","medium (100 ft. + 10 ft./level)","","one anchor of force","","1 round/level","0","0","none","yes","You conjure an anchor of pure force that immediately skewers your target on a successful ranged touch attack. If it hits, the attack deals the target 1d4 points of force damage per 2 caster levels (max 5d4) and the anchor becomes firmly lodged in the target's torso.  The anchor has no weight, but its wide flukes prevent the target from moving through any space smaller than the creature's size. The anchor also prevents incorporeal targets from moving through solid objects. Whenever the target moves through a square occupied by another creature, the square counts as 2 squares for the purpose of calculating movement, even if the square's occupant is the target's ally.","Undead Slayer's Handbook"
"Life Shield","conjuration","healing","","cleric/oracle 3, druid 3, paladin 2","1 standard action","S, DF","0","personal","","","you","1 minute/level or until discharged","0","0","","","You surround yourself with a positive energy field that damages undead opponents. Each time an undead creature damages you with a melee attack, that creature takes an amount of positive energy damage equal to half the damage it dealt to you. This damage is calculated after applying your damage reduction, resistances, and other defenses. Once this spell has dealt 5 points of damage per caster level (maximum 50), it is discharged.","Undead Slayer's Handbook"
"Necromantic Burden","necromancy","","","cleric/oracle 2, sorcerer/wizard 3, witch 3","1 round","V, S, M/DF (a handful of knucklebones)","0","close (25 ft. + 5 ft./2 levels)","","","one undead creature","1 hour/level","0","0","Will negates","yes","You make an undead creature more difficult for necromancers and clerics to control via effects such as Command Undead or control undead. If the target fails its Will save, the target's effective number of Hit Dice is doubled for the purposes of determining whether it remains under the control of another creature.  Regardless of the target's actual Hit Dice, its effective HD cannot exceed twice your caster level. (For example, a 12th-level cleric could cast this spell to cause an undead creature with 15 HD to instead effectively have 24 HD for the purpose of controlling it.) If the targeted undead is under the control of another creature and this spell causes the target's effective Hit Dice to exceed the controller's maximum capability, the target creature is immediately freed from control. Any creature capable of controlling undead may attempt to control the target, provided the target's effective HD won't cause the would-be controller to exceed its HD limit. The target's former controller can attempt to regain control over the target by relinquishing command over other creatures until its HD limit is no longer exceeded (or the former controller can wait until the spell's duration expires to attempt this at the target's normal HD).","Undead Slayer's Handbook"
"Undeath Inversion","necromancy","","","cleric/oracle 4, sorcerer/wizard 4, witch 4","1 standard action","V, S, F/DF (a gold piece with one scratched face)","0","close (25 ft. + 5 ft./2 levels)","","","one undead creature","1 round/level (D); see text","1","0","Will negates; see text","yes","You alter an undead creature's energy affinity so that it takes damage from negative energy and gains healing from positive energy, as if it were a living creature. If the target was able to channel negative energy or produce negative energy effects (such as inflict spells), these abilities produce positive energy instead, healing living targets and harming the undead. The target cannot impose negative levels on other creatures for the duration of the spell. The target's creature type does not change, and it is still considered an undead creature. Each round on its turn, the subject may attempt a new saving throw to end the effect. This is a fullround action that does not provoke attacks of opportunity.","Undead Slayer's Handbook"
"Abadar's Truthtelling","enchantment","compulsion","mind-affecting","cleric/oracle 1, inquisitor 1, paladin 1","1 standard action","V, S, DF","0","touch","","","creature touched","1 min./level","0","0","Will negates","yes","This spell functions identically to the spell zone of truth, except as noted above. The target momentarily takes on the semblance of a being of perfect order, like an archon or inevitable, so that all who can see the target know it is affected by the spell. This divine guise flickers over the target for only an instant and does not allow it to pass as a member of a different race.","Inner Sea Gods"
"Abstemiousness","transmutation","","","bard 1, cleric/oracle 1, druid 1, witch 1","1 standard action","V","0","touch","","","a handful of berries, grains, nuts, or rice","1 hour","0","0","Fortitude negates (harmless)","yes (harmless)","Sometimes Irori smiles on his worshipers, granting them a reprieve from physical hunger. This spell magically enhances a handful of simple food, imbuing it with enough nutrition to satisfy a Medium or smaller creature for a full day. The spell does not create food, and thus will not alone prevent someone from starving, but it can extend even limited reserves for lengthy periods.","Inner Sea Gods"
"Baphomet's Blessing","transmutation","polymorph","","cleric/oracle 4, druid 4, sorcerer/wizard 4, summoner/unchained summoner 4, witch 4","1 standard action","V, M/DF (powdered bull's horn)","0","touch","","","one living creature","1 round/level","0","0","Fortitude negates","yes","You change the target's head into that of a bull. The creature's Intelligence becomes 2, and it gains a gore melee attack that it can use as a primary or secondary attack. The gore attack uses the creature's base attack bonus, and the creature gains a +2 bonus on attack and damage rolls with the gore attack.  The gore attack deals a number of points of damage equal to 1d6 + Strength modifier if the target is Small, 1d8 + Strength modifier if the target is Medium, and 2d6 + Strength modifier if the target is Large or larger.  The affected creature still retains its type, class, levels, and Hit Dice. The creature's base attack bonus, base save bonuses, and hit points remain unmodified. It retains all of its class features and may still cast spells, though it must do so using its newly modified Intelligence score. Any items equipped in the creature's head slot meld into its body. Affected items that grant passive bonuses continue to do so, though items that require activation become nonfunctional for the duration of the spell.  If the target fails to resist Baphomet's blessing, it also becomes immune to polymorph spells (except for this one) for the duration of the spell's effect. Undead, incorporeal, or gaseous creatures are immune to Baphomet's blessing.","Inner Sea Gods"
