"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Expeditious Construction","conjuration","creation","earth","druid 1, sorcerer/wizard 1","1 standard action","V, S, M (a handful of earth or stone)","0","close (25 ft. + 5 ft./2 levels)","","a low wall 10 feet long per 3 levels (minimum 10 feet) (S)","","instantaneous","0","0","none","no","You create a low wall or other simple structure of packed earth or loose stone measuring 3 feet thick, 3 feet tall, and 10 feet long per 3 caster levels you possess (minimum 10 feet). Each square of the structure can appear only in unoccupied spaces atop earthen or stone surfaces able to support it. The wall grants cover as per a low wall and can be climbed with a successful DC 5 Climb check. Large and larger creatures don't need to attempt a Climb check to climb over it.  At your discretion, you can make the structure half as long but thicker by forming it into a berm consisting of a steep slope on each side. Characters moving uphill (to an adjacent square of higher elevation) must spend 2 squares of movement to enter a square of steep slope. Characters running or charging downhill (moving to an adjacent square  of lower elevation) must attempt a DC 10 Acrobatics check upon entering the first steep slope square. Mounted characters attempt a DC 10 Ride check instead. Characters who fail this check stumble and must end their movement 1d2 x 5 feet later. Characters who fail by 5 or more fall prone in the square where they end their movement. A steep slope increases the DC of Acrobatics checks by 2.","Arcane Anthology"
"Force Sword","evocation","","force","bloodrager 2, magus 2, occultist 2, psychic 2, sorcerer/wizard 2, spiritualist 2, witch 2","1 standard action","V, S","0","0 ft.","","one sword-shaped weapon of force","","1 minute/level","0","0","none","yes","You create a +1 longsword of pure force sized appropriately for you that you can wield or give to another creature like any other longsword. At 8th level, the sword functions as a +2 longsword. At 13th level, it functions as a +3 longsword. A force sword cannot be attacked or harmed by physical attacks, but dispel magic, disintegrate, a sphere of annihilation, or a rod of cancellation affects it.  If a creature you attack with the sword has spell resistance, you must attempt a caster level check (1d20 + your caster level) against that spell resistance the first time the force sword strikes it. If you fail the check, the spell is dispelled. If you succeed, the weapon has its normal full effect on that creature for the duration of the spell.","Arcane Anthology"
"Grand Destiny","enchantment","compulsion","mind-affecting","alchemist 5, bard 4, medium 4, mesmerist 5, sorcerer/wizard 5, summoner/unchained summoner 5","1 standard action","V, S","0","medium (100 ft. + 10 ft./level)","","one willing creature","","10 minutes/level or until discharged","0","0","none (harmless)","yes (harmless)","You inspire the target with the power to seize a grand destiny. The target gains a +4 competence bonus that it can choose to apply before rolling any attack roll, caster level check, saving throw, or skill check. The spell ends once the bonus has been applied to two rolls. At 12th level and 15th level, the bonus can be applied an additional time before the spell is discharged. A subject can be under the effect of only one grand destiny spell at a time.","Arcane Anthology"
"Guardian Monument, Lesser","abjuration","","","bard 3, inquisitor 3, magus 3, occultist 3, paladin 3, psychic 3, shaman 4, sorcerer/wizard 3, witch 3","1 full round","V, S, F (an unattended, nonmagical object)","0","touch","40-ft. radius from touched object or 60-ft. radius from touched object; see text","","","1 hour/level","0","0","Will negates (harmless)","yes","You touch an unattended, nonmagical object to create a touchstone for humans defending the area. Such human defenders are protected by a shimmering aura as long as they are in the area. The spell grants each subject damage reduction 2/magic. Humans who leave the area and reenter regain the damage reduction. The spell is suppressed if the object is moved from its place, but resumes if the object is put back. Its duration continues to elapse while it is suppressed this way.  Normally, the area of effect is 40 feet from the touched object. If the touched object is a monument to human achievement, the area increases to a 60-foot radius.","Arcane Anthology"
"Guardian Monument, Greater","abjuration","","","bard 5, inquisitor 5, occultist 5, psychic 5, sorcerer/wizard 5, witch 5","1 full round","V, S, F (an unattended, nonmagical object)","0","touch","40-ft. radius from touched object or 60-ft. radius from touched object; see text","","","1 hour/level","0","0","Will negates (harmless)","yes","This spell functions as lesser guardian monument, except it grants DR 4/magic.","Arcane Anthology"
"Human Potential","transmutation","","","alchemist 2, bard 2, medium 2, psychic 2, sorcerer/wizard 2","1 standard action","V, S, M (a human hair)","0","touch","","","creature touched","1 minute/level","0","0","Will negates (harmless)","yes","The target shares in humanity's great potential as encouraged by Aroden. The target chooses one ability score and gains a +2 enhancement bonus to that ability score. The bonus confers the usual benefit to skills and abilities based on the ability enhanced, but does not affect bonus spells or skill ranks.","Arcane Anthology"
"Human Potential, Mass","transmutation","","","bard 6, psychic 6, sorcerer/wizard 6, summoner/unchained summoner 6","1 standard action","V, S, M (a human hair)","0","close (25 ft. + 5 ft./2 levels)","","","one creature/level, no two of which can be more than 30 ft. apart","1 minute/level","0","0","Will negates (harmless)","yes","This spell functions like human potential, except it affects multiple creatures. Each target can choose a different ability score to be enhanced by this spell.","Arcane Anthology"
"Last Azlanti's Defending Sword","evocation","","force","magus 6, occultist 6, psychic 7, sorcerer/wizard 6","1 standard action","V, S, F (a miniature platinum sword worth 250 gp)","1","close (25 ft. + 5 ft./2 levels)","","one sword","","1 round/level (D)","1","0","none","yes","You create a sword of force that functions as mage's sword except as described here. The sword does not receive the additional +3 enhancement bonus a mage's sword receives, and deals 3d6 points of force damage. You cannot command the sword. Until the sword is triggered, it hovers in your space without interfering with  your actions. While hovering in this way, the sword attempts to defend you from incoming attacks, granting you a +4 shield bonus to your AC. The first time a foe within close range damages you or forces you to attempt a saving throw that you fail, the sword is triggered and begins attacking that target as described in mage's sword for the duration of the spell. This ends the shield bonus. You cannot direct the sword to defend against a new target once it has begun to attack. If its target moves beyond the sword's range, the sword returns to you and hovers until the target is again within range. The sword's return does not restore the spell's shield bonus to AC.","Arcane Anthology"
"Last Azlanti's Defending Sword, Mass","evocation","","force","sorcerer/wizard 9","1 standard action","V, S, F (a miniature platinum sword worth 250 gp)","1","close (25 ft. + 5 ft./2 levels)","","up to one sword per 3 levels","","1 round/level (D)","1","0","none","yes","This spell functions as Aroden's defending sword, except you can create one sword per 5 caster levels, each of which must defend a different creature within range.","Arcane Anthology"
"Linked Legacy","divination","","","bard 1, medium 1, mesmerist 1, occultist 1, psychic 1, shaman 1, sorcerer/wizard 1, witch 1","1 round","V, S","0","close (25 ft. + 5 ft./2 levels)","","","two willing creatures plus another creature per 6 levels, no two of which can be more than 30 feet apart","10 minutes/level","0","0","none","yes","This spell helps build community and ensure a shared vision for the future. When any of the affected creatures succeeds at a Knowledge check to answer a question within its field of study or identify a monster and its special powers or vulnerabilities, as a free action the affected creature can share any information gained automatically with all targets of the spell. If any of the targets move out of the spell's range, the spell ceases to function for all of them until they are all within close range of you again.","Arcane Anthology"
