"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Water Walk","transmutation","","water","cleric/oracle 3, ranger 3, witch 3, shaman 3, psychic 3, medium 2","1 standard action","V, S, DF","0","touch","","","one touched creature/level","10 min./level","1","0","Will negates (harmless)","yes (harmless)","The transmuted creatures can tread on any liquid as if it were firm ground. Mud, oil, snow, quicksand, running water, ice, and even lava can be traversed easily, since the subjects' feet hover an inch or two above the surface. Creatures crossing molten lava still take damage from the heat because they are near it. The subjects can walk, run, charge, or otherwise move across the surface as if it were normal ground.  If the spell is cast underwater (or while the subjects are partially or wholly submerged in whatever liquid they are in), the subjects are borne toward the surface at 60 feet per round until they can stand on it.","PFRPG Core"
"Waves of Exhaustion","necromancy","","","sorcerer/wizard 7, witch 7, psychic 7, mesmerist 6","1 standard action","V, S","0","60 ft.","cone-shaped burst","","","instantaneous","0","0","none","yes","Waves of negative energy cause all living creatures in the spell's area to become exhausted. This spell has no effect on a creature that is already exhausted.","PFRPG Core"
"Waves of Fatigue","necromancy","","","sorcerer/wizard 5, witch 5, psychic 5, mesmerist 5, spiritualist 5","1 standard action","V, S","0","30 ft.","cone-shaped burst","","","instantaneous","0","0","none","yes","Waves of negative energy render all living creatures in the spell's area fatigued. This spell has no effect on a creature that is already fatigued.","PFRPG Core"
"Web","conjuration","creation","","sorcerer/wizard 2, witch 2, magus 2","1 standard action","V, S, M (spider web)","0","medium (100 ft. + 10 ft./level)","","webs in a 20-ft.-radius spread","","10 min./level (D)","1","0","Reflex negates; see text","no","Web creates a many-layered mass of strong, sticky strands. These strands trap those caught in them. The strands are similar to spiderwebs but far larger and tougher. These masses must be anchored to two or more solid and diametrically opposed points or else the web collapses upon itself and disappears. Creatures caught within a web become grappled by the sticky fibers. Attacking a creature in a web doesn't cause you to become grappled.  Anyone in the effect's area when the spell is cast must make a Reflex save. If this save succeeds, the creature is inside the web but is otherwise unaffected. If the save fails, the creature gains the grappled condition, but can break free by making a combat maneuver check or Escape Artist check as a standard action against the DC of this spell. The entire area of the web is considered difficult terrain. Anyone moving through the webs must make a combat maneuver check or Escape Artist check as part of their move action, with a DC equal to the spell's DC. Creatures that fail lose their movement and become grappled in the first square of webbing that they enter.  If you have at least 5 feet of web between you and an opponent, it provides cover. If you have at least 20 feet of web between you, it provides total cover.  The strands of a web spell are flammable. A flaming weapon can slash them away as easily as a hand brushes away cobwebs. Any fire can set the webs alight and burn away one 5-foot square in 1 round. All creatures within flaming webs take 2d4 points of fire damage from the flames.  Web can be made permanent with a permanency spell. A permanent web that is damaged (but not destroyed) regrows in 10 minutes.","PFRPG Core"
"Weird","illusion","phantasm","fear, mind-affecting, emotion","sorcerer/wizard 9, psychic 9","1 standard action","V, S","0","medium (100 ft. + 10 ft./level)","","","any number of creatures, no two of which can be more than 30 ft. apart","instantaneous","0","0","Will disbelief, then Fortitude partial; see text","yes","This spell functions like phantasmal killer, except it can affect more than one creature. Only the affected creatures see the phantasmal creatures attacking them, though you see the attackers as shadowy shapes.  If a subject's Fortitude save succeeds, it still takes 3d6 points of damage and is stunned for 1 round. The subject also takes 1d4 points of Strength damage.","PFRPG Core"
"Whirlwind","evocation","","air","druid 8, shaman 8","1 standard action","V, S, DF","0","long (400 ft. + 40 ft./level)","","cyclone 10 ft. wide at base, 30 ft. wide at top, and 30 ft. tall","","1 round/level","1","0","Reflex negates; see text","yes","This spell creates a powerful cyclone of raging wind that moves through the air, along the ground, or over water at a speed of 60 feet per round. You can concentrate on controlling the cyclone's every movement or specify a simple program. Directing the cyclone's movement or changing its programmed movement is a standard action for you. The cyclone always moves during your turn. If the cyclone exceeds the spell's range, it moves in a random, uncontrolled fashion for 1d3 rounds and then dissipates. (You can't regain control of the cyclone, even if it comes back within range.) Any Large or smaller creature that comes in contact with the spell effect must succeed on a Reflex save or take 3d6 points of damage. A Medium or smaller creature that fails its first save must succeed on a second one or be picked up bodily by the cyclone and held suspended in its powerful winds, taking 1d8 points of damage each round on your turn with no save allowed. You may direct the cyclone to eject any carried creatures whenever you wish, depositing the hapless souls wherever the cyclone happens to be when they are released.","PFRPG Core"
"Whispering Wind","transmutation","","air","bard 2, sorcerer/wizard 2, inquisitor 2, psychic 2, mesmerist 2, medium 2","1 standard action","V, S","0","1 mile/level","10-ft.-radius spread","","","no more than 1 hour/level or until discharged (destination is reached)","0","0","none","no","You send a message or sound on the wind to a designated spot. The whispering wind travels to a specific location within range that is familiar to you, provided that it can find a way to the location. A whispering wind is as gentle and unnoticed as a zephyr until it reaches the location. It then delivers its whisper-quiet message or other sound. Note that the message is delivered regardless of whether anyone is present to hear it. The wind then dissipates.  You can prepare the spell to bear a message of no more than 25 words, cause the spell to deliver other sounds for 1 round, or merely have the whispering wind seem to be a faint stirring of the air. You can likewise cause the whispering wind to move as slowly as 1 mile per hour or as quickly as 1 mile per 10 minutes.  When the spell reaches its objective, it swirls and remains in place until the message is delivered. As with magic mouth, whispering wind cannot speak verbal components, use command words, or activate magical effects.","PFRPG Core"
"Wind Walk","transmutation","","air","cleric/oracle 6, druid 7, alchemist 6, shaman 7","1 standard action","V, S, DF","0","touch","","","you and one touched creature per three levels","1 hour/level ; see text","1","0","none and Will negates (harmless)","no and yes (harmless)","You alter the substance of your body to a cloudlike vapor (as the gaseous form spell) and move through the air, possibly at great speed. You can take other creatures with you, each of which acts independently.  Normally, a wind walker flies at a speed of 10 feet with perfect maneuverability. If desired by the subject, a magical wind wafts a wind walker along at up to 600 feet per round (60 mph) with poor maneuverability. Wind walkers are not invisible but rather appear misty and translucent. If fully clothed in white, they are 80% likely to be mistaken for clouds, fog, vapors, or the like.  A wind walker can regain its physical form as desired and later resume the cloud form. Each change to and from vaporous form takes 5 rounds, which counts toward the duration of the spell (as does any time spent in physical form). As noted above, you can dismiss the spell, and you can even dismiss it for individual wind walkers and not others.  For the last minute of the spell's duration, a wind walker in cloud form automatically descends 60 feet per round (for a total of 600 feet), though it may descend faster if it wishes. This descent serves as a warning that the spell is about to end.","PFRPG Core"
"Wind Wall","evocation","","air","cleric/oracle 3, druid 3, ranger 2, sorcerer/wizard 3, summoner 2, magus 3, bloodrager 3, shaman 3, occultist 3, spiritualist 3, unchained summoner 3","1 standard action","V, S, M/DF (a tiny fan and an exotic feather)","0","medium (100 ft. + 10 ft./level)","","wall up to 10 ft./level long and 5 ft./level high (S)","","1 round/level","0","0","none; see text","yes","An invisible vertical curtain of wind appears. It is 2 feet thick and of considerable strength. It is a roaring blast sufficient to blow away any bird smaller than an eagle, or tear papers and similar materials from unsuspecting hands. (A Reflex save allows a creature to maintain its grasp on an object.) Tiny and Small flying creatures cannot pass through the barrier. Loose materials and cloth garments fly upward when caught in a wind wall. Arrows and bolts are deflected upward and miss, while any other normal ranged weapon passing through the wall has a 30% miss chance. (A giant-thrown boulder, a siege engine projectile, and other massive ranged weapons are not affected.) Gases, most gaseous breath weapons, and creatures in gaseous form cannot pass through the wall (although it is no barrier to incorporeal creatures).  While the wall must be vertical, you can shape it in any continuous path along the ground that you like. It is possible to create cylindrical or square wind walls to enclose specific points.","PFRPG Core"
"Wish","universal","","","sorcerer/wizard 9, psychic 9","1 standard action","V, S, M (diamond worth 25,000 gp)","1","see text","see text","see text","see text","see text","0","0","none; see text","yes","Wish is the mightiest spell a wizard or sorcerer can cast. By simply speaking aloud, you can alter reality to better suit you. Even wish, however, has its limits. A wish can produce any one of the following effects. • Duplicate any sorcerer/wizard spell of 8th level or lower, provided the spell does not belong to one of your opposition schools. • Duplicate any non-sorcerer/wizard spell of 7th level or lower, provided the spell does not belong to one of your opposition schools. • Duplicate any sorcerer/wizard spell of 7th level or lower, even if it belongs to one of your opposition schools. • Duplicate any non-sorcerer/wizard spell of 6th level or lower, even if it belongs to one of your opposition schools. • Undo the harmful effects of many other spells, such as geas/ quest or insanity. • Grant a creature a +1 inherent bonus to an ability score. Two to five wish spells cast in immediate succession can grant a creature a +2 to +5 inherent bonus to an ability score (two wishes for a +2 inherent bonus, three wishes for a +3 inherent bonus, and so on). Inherent bonuses are instantaneous, so they cannot be dispelled. Note: An inherent bonus may not exceed +5 for a single ability score, and inherent bonuses to a particular ability score do not stack, so only the best one applies. • Remove injuries and afflictions. A single wish can aid one creature per caster level, and all subjects are cured of the same kind of affliction. For example, you could heal all the damage you and your companions have taken, or remove all poison effects from everyone in the party, but not do both with the same wish. • Revive the dead. A wish can bring a dead creature back to life by duplicating a resurrection spell. A wish can revive a dead creature whose body has been destroyed, but the task takes two wishes: one to recreate the body and another to infuse the body with life again. A wish cannot prevent a character who was brought back to life from gaining a permanent negative level. • Transport travelers. A wish can lift one creature per caster level from anywhere on any plane and place those creatures anywhere else on any plane regardless of local conditions. An unwilling target gets a Will save to negate the effect, and spell resistance (if any) applies. • Undo misfortune. A wish can undo a single recent event. The wish forces a reroll of any roll made within the last round (including your last turn). Reality reshapes itself to accommodate the new result. For example, a wish could undo an opponent's successful save, a foe's successful critical hit (either the attack roll or the critical roll), a friend's failed save, and so on. The reroll, however, may be as bad as or worse than the original roll. An unwilling target gets a Will save to negate the effect, and spell resistance (if any) applies. You may try to use a wish to produce greater effects than these, but doing so is dangerous. (The wish may pervert your intent into a literal but undesirable fulfillment or only a partial fulfillment, at the GM's discretion.) Duplicated spells allow saves and spell resistance as normal (but save DCs are for 9th-level spells). When a wish duplicates a spell with a material component that costs more than 10,000 gp, you must provide that component (in addition to the 25,000 gp diamond component for this spell).","PFRPG Core"
