"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"True Prognostication","divination","","","cleric/oracle 8, psychic 8, shaman 8, witch 8","1 week","V, S, M (rare incense and tonics worth 1,000 gp)","1","personal","","","you","instantaneous","0","0","","","True prognostication functions as divination except that the spell can see up to 100 years into the future. Because of the extreme unpredictability of the far-distant future, true prognostication is incredibly cryptic when used to learn about events on such large a scale.","Ultimate Intrigue"
"Underbrush Decoy","transmutation","","","druid 1, ranger 1, shaman 1","1 swift action","S","0","close (25 ft. + 5 ft./2 levels)","","","one non-creature plant of size Tiny, Small, or Medium","1 round","0","0","Will negates (object)","yes (object)","You cause a plant to rustle noisily, distracting nearby creatures. You can attempt a Bluff check to create a distraction to hide, using your caster level + your Wisdom modifier in place of your total Bluff skill bonus and applying the result to all creatures within 30 feet. You count the target as distracted, as do any creatures that knew about your distraction in advance. Creatures might not be distracted if they detect you casting the spell or otherwise anticipate your subterfuge.","Ultimate Intrigue"
"Undetectable Trap","illusion","glamer","","antipaladin 2, occultist 3, ranger 2","10 minutes (see text)","V, S, M (a square of black silk worth 50 gp)","1","touch","","","trap touched","1 day/level (D)","1","0","none","no","You shroud a single trap with a powerful illusion to make it more difficult to locate. Spells like detect magic can't locate any magic aura from either the target trap or from undetectable trap. Furthermore, a character under the effect of the find traps spell doesn't receive an automatic chance to locate the target trap when she comes within 10 feet of it, and the bonus on Perception checks from find traps doesn't apply to attempts to notice the target trap. Add 1/2 your caster level to the DC for any creature without the trapfinding class ability to notice the target trap with Perception checks.  A ranger with the ranger traps class feature (Pathfinder RPG Ultimate Magic 64) can cast this spell on a ranger trap he creates as part of the same action he uses to prepare a ranger trap. This doesn't reduce the spell's casting time if such a ranger casts this spell on an ordinary trap, even one that he created himself using Craft (traps).","Ultimate Intrigue"
"Unerring Tracker","divination","","","alchemist 5, druid 6, occultist 4, ranger 4","10 minutes","V, S, DF","0","personal","","","you","10 minutes/level","0","0","none","no","During this spell's duration, you can touch the sign of a creature's passage that you have identified using the Survival skill to make the other steps in the creature's path perfectly clear to you, no matter how minute. This trail can't be more than 24 hours old. You can follow the trail at any speed, provided you have line of sight to the trail. You can distinguish the trail of the particular creature followed even if it joins and splits with other trails. Once you have selected a trail to follow using this spell, it can't be changed.  The spell is unable to follow teleportation or interplanar travel for any distance. The trail appears to end where the creature teleported (though a successful Spellcraft check allows you to determine the method of teleportation, if a spell was used). Unerring tracker can't track creatures under the effect of a pass without trace spell, as those creatures leave no trail at all, but can track creatures using nondetection (though not mind blank).  This spell can be used to track flying creatures, but the trail must at least begin on a solid surface.  This spell doesn't reveal the creature's current position or any shorter path than the one it followed (for instance, it will not reveal that the creature doubled back upon the trail until you reach the point where the creature turned around.) It doesn't reveal traps or other hazards along the trail.","Ultimate Intrigue"
"Urban Step","conjuration","teleportation","","bard 2, magus 3, occultist 3, sorcerer/wizard 3, summoner/unchained summoner 3","1 standard action","V, S, M (scrap of cobweb)","0","medium (100 ft. + 10 ft./level)","","","two doors or other portals in range","1 round","0","0","","","You set up a magical connection between two doors (or other physical portals, such as windows) that both must be within range, line of sight, and line of effect. During the spell's duration, you can move through one of the two portals. When you do, you teleport to the other portal, emerging in either direction. Both portals must be open and unobstructed when you cast the spell and enter the first portal, and they both must be large enough for you to fit through, otherwise the spell ends and the teleportation fails. You can bring along objects as long as their combined weight doesn't exceed your maximum load. You can't bring other creatures with you, and other creatures that go through the portals don't teleport. Once you step through, the spell ends and you can't take any other actions until your next turn.","Ultimate Intrigue"
"Vicarious View","divination","scrying","","bard 4, medium 3, mesmerist 4, occultist 4, psychic 4, shaman 4, sorcerer/wizard 4, spiritualist 4, witch 4","1 standard action","V, S","0","touch","","magical sensor","","1 minute/level (D)","1","0","Will negates (object)","yes (object)","You plant a scrying sensor on a touched creature, object, or point in space, allowing you to see and hear the creature, object, or point and its surroundings (approximately 10 feet in all directions). If the creature or object on moves, the sensor moves with it. Unlike other scrying spells, vicarious view doesn't allow magically or supernaturally enhanced senses to work through it.","Ultimate Intrigue"
"Voluminous Vocabulary","divination","","","alchemist 3, bard 2, cleric/oracle 3, inquisitor 2, medium 2, mesmerist 2, occultist 2, psychic 3, shaman 4, sorcerer/wizard 3, spiritualist 3, witch 3","1 standard action","V, S, M (a quill)","0","touch","","","creature touched","8 hours (D)","1","0","Will negates (harmless)","yes (harmless)","You choose any language (except for secret languages, such as Druidic). The target gains the ability to speak, understand, read, and write that language. When you cast this spell, you can attempt a DC 15 Linguistics check. If you succeed, choose an additional language, plus one more language for every 10 by which your check result exceeded the DC.  Written material can be read at the rate of one page (250 words) per minute. As with comprehend languages, this spell doesn't impart insight into material the target read, just the literal meaning, and it doesn't allow the target to read magical writing or decipher codes.  If the target lacks the mental capacity to grasp a language, it still gains enough knowledge to respond to and carry out even extremely complex commands or suggestions coached in the language (whether written or spoken). However, since this spell endows the target merely with a temporarily enhanced vocabulary, the person offering instructions to nonsentient creatures must take care to avoid metaphors or any other ambiguity.","Ultimate Intrigue"
"Wizened Appearance","transmutation","polymorph","","alchemist 1, bard 1, medium 1, mesmerist 1, occultist 1, psychic 1, sorcerer/wizard 1, witch 1","1 standard action","V, S","0","touch","","","creature touched","1 hour/level","0","0","Fortitude negates","yes","You polymorph your target to look like an older version of itself. You select how much older (for example, ""10 years older"" or ""as an adult""). You can't otherwise change the target's appearance other than those details directly associated with aging (for example, a target's hair might turn gray or the target might develop liver spots). This spell allows children of creatures that are Medium or smaller when fully grown to grow one size category to the normal, adult size of that type of creature, but otherwise the selected age increase doesn't alter the creature's size. A change in size doesn't alter the target's ability scores. This spell doesn't affect or cause any age-based modifications to ability scores or other age-related effects like dragon age categories or natural metamorphoses.  Wizened appearance and youthful appearanceUM counter and dispel each other.","Ultimate Intrigue"
"Guardian Armor","conjuration","teleportation","","antipaladin 1, bloodrager 1, cleric/oracle 1, inquisitor 1, magus 1, occultist 1, paladin 1, sorcerer/wizard 1","1 immediate action","V, S, F (armor worn)","0","close (25 ft. + 5 ft./2 levels)","","","one willing creature; see below","instantaneous","0","0","none","yes","This spell teleports the suit of armor you are wearing off of your body and onto an ally within range; the target must be the same size and general shape as you. This armor appears on the target's body fully formed and properly donned, granting the creature the immediate benefit of its protection. If the target of guardian armor was already wearing armor, the armor wearing it is removed from the target's body and falls undamaged into an adjacent square.","Armor Masters Handbook"
"Revenant Armor","transmutation","","","antipaladin 3, cleric/oracle 4, magus 4, medium 4, occultist 4, paladin 3, shaman 3, sorcerer/wizard 4, spiritualist 3, witch 3","1 standard action","V, S, F (one suit of armor)","0","close (25 ft. + 5 ft./2 levels)","","","one suit of armor","1 day/level or 1 hour/level; see below","0","0","none","no","This spell endows a suit of armor with a singular purpose realized only after its wearer goes unconscious or is killed; whenever the wearer of a suit of armor warded by revenant armor is brought below 0 hit points or otherwise rendered unconscious (but not paralyzed or held) in combat, the armor is immediately brought to life as a Medium animated object. This animated suit of armor still contains the unconscious (or dead) body of its former wearer and moves with a shambling gait at a speed of 20 feet. This animated object has average hit points and, if the armor is made from metal, it has the metal animated object extraordinary ability (plus additional abilities based on the type of metal, as indicated on page 14 of the Pathfinder RPG Bestiary). Once animated, the revenant armor remains standing (and stands if knocked prone, doing so without provoking attacks of opportunity), and prevents the wearer of the armor from being considered helpless. If an ally of the wearer is within range of the armor, she can direct it to move, though it refuses to go anywhere that requires a skill check. If grappled or otherwise restrained, it can attempt to break free with a Strength score equal to your caster level and a CMB equal to 1 + your caster level + the armor's Strength modifier. If the armor's wearer is reduced to dust, made conscious, or removed from the armor, the spell ends.","Armor Masters Handbook"
