"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Call Weapon","transmutation","","","bard 1, magus 1, ranger 1","1 swift action","V, S","0","30 feet","","","one melee weapon wielded by an ally","instantaneous","0","0","","","This spell first rose to prominence among the elves of Kyonin in the war to retake their ancestral land from the demon lord Treerazer and his minions. Elite units of elven magi entered battle with this spell prepared to shield fallen comrades or stand firm against fell foes. As the elven presence returned to the world, this spell spread throughout the Inner Sea and beyond.  When you cast this spell, you cause a weapon wielded by an ally within 30 feet to telekinetically fly across the space between you and into your open hand. This extra energy persists in the weapon for the rest of the round, granting you a +2 circumstance bonus on attack rolls and weapon damage rolls made during the same round you cast this spell.  If the ally targeted for this spell is unwilling to give up her weapon, the spell fails. An unconscious or dying ally is considered a ""willing"" target so long as the weapon to be called is still in contact with the ally's body.","Inner Sea Magic"
"Crusader's Edge","transmutation","","good","cleric/oracle 4, inquisitor 4, paladin 4","1 standard action","V, S, M (dried blood from an evil outsider, sprinkled on the weapon)","0","touch","","","melee weapon touched","1 minute/level","0","0","Fortitude negates","no","This spell was created by the paladins of the Mendevian Crusades, and co-opted by inquisitors and rangers dedicated to tracking and fighting demons, devils, and other evil extraplanar creatures.  When you cast this spell on a melee weapon you imbue it with a powerful holy energy, granting the weapon the bane weapon quality against evil outsiders. Furthermore, whenever you score a successful critical hit against an outsider with the evil subtype, you not only deal normal critical damage with the weapon but also nauseate the outsider for 1d3 rounds-the outsider can reduce this nauseated condition to sickened for 1 round with a successful Fortitude save.","Inner Sea Magic"
"Eaglesoul","conjuration","summoning","good","cleric/oracle 6, paladin 4, summoner/unchained summoner 5","1 standard action","V, S, M (vellum inscribed with good outsider's name)","0","personal","","","you","1 hour/level (see below)","0","0","","","As the Inner Sea's bravest men and women answered the call of what became the Second Mendevian Crusade, constructing the wardstones that eventually kept the brutal chaos of the Worldwound at bay, they realized that they needed help beyond traditional magics. Legends say that the first eaglesoul spell was created when an agathion avoral joined his own spirit with that of a courageous paladin who was about to be overwhelmed on the field of battle. The holy knight used the combined might of the agathion's great strength and his own to win the day for the crusaders. Now, although the spell is still in use chiefly among those that patrol the borders of the Worldwound, other champions of good have carried it with them to all corners of the Inner Sea region. When you cast this spell, you reach into the great beyond and beseech a good-aligned outsider for their aid against evil. The outsider infuses a small portion of its own power into you, making you a powerful force for good. You gain a +2 morale bonus on all Perception checks made against evil creatures, a +2 bonus on Initiative checks, and detect evil as a constant spell-like ability. In addition, once during the spell's duration you can call forth a surge of holy power when fighting an evil creature. Doing so is a swift action that shortens the spell's remaining duration so that its remaining hours of duration become rounds of duration. For the rest of this duration, the surge of power grants you the following benefits: • A +2 sacred bonus to AC • A +4 sacred bonus to Strength • Resistance 5 to acid and fire • A +5 sacred bonus on all Intimidate checks made against evil creatures • Fast healing 2 • Any critical threat roll made against an evil creature with a weapon you wield is automatically confirmed. Although this surge of power can be activated against any evil opponent, this ability activates automatically as soon as you attack any evil outsider, regardless of whether you hit or not, and regardless of whether you actually recognize that the target is in fact an evil outsider. In such cases the activation is a free action. Nongood spellcasters can cast this spell, but doing so causes them to be sickened (for spellcasters who are neither good nor evil) or staggered (for spellcasters who are evil) for the spell's duration.","Inner Sea Magic"
"Eldritch Conduit","transmutation","","","sorcerer/wizard 2, witch 2","1 standard action","V, S, M (a small mirror)","0","close (25 ft. + 5 ft./2 levels)","","","one creature","1 round/level","0","0","Will negates","yes","Originally created by a disciple of the archwizard Nex, this spell was used to turn enemy soldiers in Geb's undead armies into conduits capable of blasting spell energy back into the far reaches of the Gebite lines. Since then, it has become a favorite among arcane casters with an understanding of battlefield tactics.  If the target of this spell fails to resist its effects with a Will save, he becomes outlined in faint radiance, as if via faerie fire. At any time before the eldritch conduit expires, you may cast another spell with an area effect of cone, cylinder, line, or sphere and use the subject of the eldritch conduit as the point of origin for that spell. Doing so ends the spell immediately. The target must be within close range (25 feet + 5 feet/2 levels) in order for you to use the conduit-if the target moves out of range, the eldritch conduit effect persists but cannot be utilized by you until you get back within range.","Inner Sea Magic"
"Eldritch Conduit, Greater","transmutation","","","sorcerer/wizard 6, witch 6","1 standard action","V, S, M (a small mirror)","0","medium (100 ft. + 10 ft./level)","one creature/level, no two of which can be more than 30 ft. apart","","","1 minute/level","0","0","Will negates","yes","This spell functions like eldritch conduit save for the differences listed above and that the target must be within medium range (100 ft. + 10 ft./level) in order for you to use the conduit. Using a creature as a conduit for a spell ends the greater eldritch conduit effect on that creature, but does not end the effect for other eldritch conduits.","Inner Sea Magic"
"Fleshcurdle","transmutation","polymorph","","sorcerer/wizard 2","1 standard action","V, S, M (scrap of pickled flesh)","0","close (25 ft. + 5 ft./2 levels)","","","one living or undead creature","1 round/level","0","0","Fortitude negates","yes","You warp the target creature's flesh, discoloring it and causing it to become misshapen and impairing its function. When you cast this spell, you must choose one of three types of effects to inflict on the target-movement, attacks, or defense.  Attacks: One of the creature's natural attacks takes a -2 penalty on attack and damage rolls, only scores a critical hit on a natural 20, and only deals x2 damage on a confirmed critical hit.  Defense: The creature's natural armor bonus decreases by -4, to a minimum bonus of +0.  Movement: One of the creature's movement speeds (chosen by you) is halved.  Most undead are susceptible to fleshcurdle, but amorphous creatures and creatures without flesh are immune (such as elementals, oozes, plants, gaseous or incorporeal creatures, and skeletons).","Inner Sea Magic"
"Forceful Strike","evocation","","force","cleric/oracle 4, inquisitor 4, magus 4, paladin 4","1 swift action","V, S","0","touch or reach of melee weapon","","","1 creature","instantaneous","0","0","Fortitude partial","yes","You cast this spell as you strike a creature with a melee weapon, unarmed strike, or natural attack to unleash a concussive blast of force. You deal normal weapon damage from the blow, but also deal an additional amount of force damage equal to 1d4 points per caster level (maximum of 10d4). The force of the blow may be enough to knock the target backward as well. To determine if the target is pushed back, make a combat maneuver check with a bonus equal to your caster level to resolve a bull rush attempt against the creature struck. You do not move as a result of this free bull rush, but it can push the target back if it defeats the target's CMD. A successful Fortitude save halves the force damage and negates the bull rush effect.","Inner Sea Magic"
"Geb's Hammer","necromancy","","","sorcerer/wizard 4, witch 4","1 standard action","V, S, M (a leather glove coated in dried embalming herbs)","0","close (25 ft. + 5 ft./2 levels)","","sphere of undead remains composed of 3 or more destroyed undead","","1 round/level","0","0","none","yes","Centuries of war with Nex trained the necromancers of Geb to extract every last resource from the mindless undead that make up most of Geb's rank-and-file troops.  When you cast this spell, you draw the remains of nearby destroyed undead together and fuse them into a mass of flesh and bone you can then hurl at any foes within range. Three corpses within range of the spell are required for the spell to function. Geb's hammer can be directed to attack one foe within range per round as a move action. It uses your caster level as its base attack bonus, modified by your Intelligence, Wisdom, or Charisma modifier (whichever one is highest). On a hit, the corpse hammer deals 1d6 points of damage per three caster levels (to a maximum of 6d6 points of damage).  Geb's hammer also has secondary effects based on the nature of the three bodies you use to create it. If the majority used to create Geb's hammer (at least two) were skeletal, the jagged bits of bone cause the corpse hammer to deal slashing damage and increase Geb's hammer's critical threat range to 19-20. On the other hand, if the majority were fleshy (at least two), the increased mass causes Geb's hammer to deal bludgeoning damage and increase its critical hit damage to x3.  Undead that have been destroyed by positive energy or a similar effect that does not leave a corpse, like a disintegrate spell, cannot be used to form Geb's hammer.","Inner Sea Magic"
"Geniekind","transmutation","polymorph","","cleric/oracle 5, druid 5, sorcerer/wizard 5, summoner/unchained summoner 5","1 standard action","V, S, M (a pinch of dust, embers, wind-blown sand or drops of water, depending on the genie type)","0","personal","","","you","1 round/level","0","0","","","Keleshite wizards and clerics have always sought to emulate the genies that they bind. The geniekind spell is the result of attempts to gain the power and influence of these proud outsiders without entirely forsaking the caster's own form.  Upon casting this spell, you must choose one type of genie to transform into, selecting from djinni, efreeti, marid, or shaitan. You retain your basic physical appearance but shift in some way to become more akin to the genie type you chose. While under the effects of geniekind, you gain a +2 racial bonus on all saving throws against paralysis, poison, sleep, and stunning effects, and a +4 enhancement bonus to your natural armor bonus. You also gain a +2 enhancement bonus to Constitution and a +5 bonus on all Diplomacy checks made when interacting with creatures of the same elemental subtype as your chosen genie. In addition, you gain other abilities depending upon the type of genie you choose to assume the form of, as detailed below.  Djinni: You gain the ability to fly at a speed of 60 feet with perfect maneuverability. When flying, your lower torso trails away into a vortex of wind and smoke. You gain resist electricity 10.  Efreeti: Your flesh turns a deep red and you grow large horns on your head. Your unarmed strikes and any melee weapon you wield deal +1d6 points of fire damage. You gain resist fire 10.  Marid: Your flesh turns blue and you gain webbed fingers and toes. You gain a swim speed of 60 feet and can breathe water. You gain resist cold 10.  Shaitan: Your flesh gains the coloration of stone and your hair appears to be sculpted from fine crystals. You gain a burrow speed of 60 feet and resist acid 10.","Inner Sea Magic"
"Hungry Darkness","evocation","","darkness, force","sorcerer/wizard 7","1 standard action","V, S, M (a bat's tooth)","0","close (25 ft. + 5 ft./2 levels)","60-ft.-radius spread","","","1 round/level (D)","1","0","none","yes (see text)","This spell creates an area of intense blackness, as deeper darkness, but filled with unseen chewing teeth and ravenous maws. Any creatures beginning its turn within the hungry darkness is gnawed and slashed by these unseen fangs of force, dealing 3d6 points of force damage and 2 points of Constitution damage per round. Once a creature leaves the cloud, it continues to take 1d6 points of bleed damage each round until it receives magical healing or enters an area of bright light. Spell resistance can prevent damage from the hungry darkness but not against the darkness it creates.","Inner Sea Magic"
