"name","school","subschool","descriptor","spell_level","casting_time","components","costly_components","range","area","effect","targets","duration","dismissible","shapeable","saving_throw","spell_resistance","description","source"
"Shock Shield","abjuration","","electricity, force","alchemist 1, magus 1, sorcerer/wizard 1, bloodrager 1, occultist 1","1 standard action","V, S","0","personal","","","you","1 minutes/level (D)","1","0","","","This spell creates an invisible shield similar to but not as strong as the shield spell. This shield hovers in front of you and negates magic missile attacks directed at you. The disk provides a +2 shield bonus to AC. This bonus applies against incorporeal touch attacks.  At any time, as a free action, you may dismiss your shield, at which point it deals 1d6 points of electrical damage to all creatures within a 5-foot burst, including you. A Reflex saving throw halves the damage.","Ultimate Combat"
"Shocking Image","illusion","figment","electricity","bard 4, sorcerer/wizard 4, bloodrager 4, occultist 4, mesmerist 4","1 standard action","V, S","0","personal","","","you","1 minute/level","0","0","none","see text","This spell works like mirror image, except the illusory doubles it creates discharge an electric shock when destroyed. An opponent that uses a melee attack to destroy one of your images takes 2d6 points of electricity damage. You must overcome a target's spell resistance the first time you deal this electricity damage to it. Failure renders the target immune to damage from this spell.","Ultimate Combat"
"Siege Of Trees","transmutation","","","druid 7","10 minutes","V, S, DF","0","close (25 ft. + 5 ft./2 levels)","","","one Large plant per three caster levels","1 hour/level (D)","1","0","none","no","You imbue inanimate plants with limited mobility and a semblance of life. Each plant targeted acts as a light catapult (see page 162) until the end of the spell's duration, though you must spend a standard action to aim each of these tree catapults before the first time they fire, and anytime thereafter when you want the trees to fire at a new target. The catapult uses your caster level as its targeting bonus. With a free action, you can command one or all of the trees under your command to stop firing. You do not need to supply ammunition to these tree catapults; they will automatically load themselves with rocks and boulders in the area, digging them deep from the ground if need be. You can supply the trees ammunition if you desire. The tree will not load flaming ammunition, and these catapult trees cannot be affected by energy siege shot (see page 228) if the energy selected is fire.","Ultimate Combat"
"Siege of Trees, Greater","transmutation","","","druid 9","10 minutes","V,S","0","close (25 ft. + 5 ft./2 levels)","","","one Gargantuan, Huge, or Large plant per three caster levels","1 hour/level (D)","1","0","none","no","As siege of trees, but you can affect larger-sized plants. Each plant acts as a catapult of its size.","Ultimate Combat"
"Spell Immunity, Communal","abjuration","","","cleric/oracle 5, inquisitor 5, occultist 5, psychic 5","1 standard action","V, S, DF","0","touch","","","creatures touched","10 min./level","0","0","Will negates (harmless)","yes (harmless)","This spell functions like spell immunity, except you divide the duration in 10-minute intervals among the creatures touched.","Ultimate Combat"
"Spell Immunity, Greater Communal","abjuration","","","cleric/oracle 9, psychic 9","1 standard action","V, S, DF","0","touch","","","creatures touched","10 min./level","0","0","Will negates (harmless)","yes (harmless)","This spell functions like greater spell immunity, except you divide the duration among the creatures in 10-minute intervals among the creatures touched.","Ultimate Combat"
"Spider Climb, Communal","transmutation","","","alchemist 3, druid 3, sorcerer/wizard 3, summoner/unchained summoner 3, occultist 3, psychic 3","1 standard action","V, S, M (a live spider)","0","touch","","","creatures touched","10 min./level","0","0","Will negates (harmless)","yes (harmless)","This spell functions like spider climb, except you divide the duration in 10-minute intervals among the creatures touched.","Ultimate Combat"
"Spontaneous Immolation","evocation","","fire","sorcerer/wizard 2, psychic 2","1 standard action","V, S, M (pinch of saltpeter)","0","medium (100 ft. + 10 ft./level)","","","one creature","instantaneous","0","0","Fortitude half and Reflex (see description)","yes","You point your finger at a creature, causing it to spontaneously burst into flame. The target takes 3d6 points of fire damage and catches on fire (Pathfinder RPG Core Rulebook 444). A successful Fortitude save reduces this damage by half and prevents the target from catching on fire. Each round on your turn, a burning target can attempt a new save to extinguish the flames (DC equal to the DC of the spell); otherwise it takes another 1d6 fire damage.","Ultimate Combat"
"Stabilize Powder","transmutation","","","sorcerer/wizard 2, witch 2","1 standard action","V, S, M (a few drops of liquor)","0","close (25 ft. + 5 ft./2 levels)","","","1 loaded firearm","instantaneous","0","0","Will negates (harmless, object)","yes (harmless, object)","Ammunition currently loaded in the target firearm is less prone to misfire. Decrease the misfire range by 1 + 1 per five caster levels (maximum +5, minimum misfire 0) for the ammunition currently loaded into that firearm.","Ultimate Combat"
"Stoneskin, Communal","abjuration","","","alchemist 5, druid 6, inquisitor 5, sorcerer/wizard 5, summoner 4, psychic 5, unchained summoner 5","1 standard action","V, S, M (granite and diamond dust worth 250 gp per creature affected)","1","touch","","","creatures touched","10 min./level or until discharged","0","0","Will negates (harmless)","yes (harmless)","This spell functions like stoneskin, except you divide the duration in 10 minute intervals among the creatures touched. Once the spell has prevented 10 points of damage per caster level (maximum 150 points) for a subject, the spell's effects end for that subject.","Ultimate Combat"
